Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,563.24
01/01/2014 01:00,01/01/2014 02:00,566.38
01/01/2014 02:00,01/01/2014 03:00,558.07
01/01/2014 03:00,01/01/2014 04:00,551.63
01/01/2014 04:00,01/01/2014 05:00,557.25
01/01/2014 05:00,01/01/2014 06:00,554.1
01/01/2014 06:00,01/01/2014 07:00,638.82
01/01/2014 07:00,01/01/2014 08:00,646.76
01/01/2014 08:00,01/01/2014 09:00,720.91
01/01/2014 09:00,01/01/2014 10:00,671.51
01/01/2014 10:00,01/01/2014 11:00,679.38
01/01/2014 11:00,01/01/2014 12:00,698.69
01/01/2014 12:00,01/01/2014 13:00,689.65
01/01/2014 13:00,01/01/2014 14:00,669.11
01/01/2014 14:00,01/01/2014 15:00,682.38
01/01/2014 15:00,01/01/2014 16:00,718.43
01/01/2014 16:00,01/01/2014 17:00,726.9
01/01/2014 17:00,01/01/2014 18:00,687.92
01/01/2014 18:00,01/01/2014 19:00,638.31
01/01/2014 19:00,01/01/2014 20:00,589.99
01/01/2014 20:00,01/01/2014 21:00,546.46
01/01/2014 21:00,01/01/2014 22:00,564.46
01/01/2014 22:00,01/01/2014 23:00,560.66
01/01/2014 23:00,02/01/2014 00:00,559.18
02/01/2014 00:00,02/01/2014 01:00,554.21
02/01/2014 01:00,02/01/2014 02:00,548.28
02/01/2014 02:00,02/01/2014 03:00,516.07
02/01/2014 03:00,02/01/2014 04:00,519.95
02/01/2014 04:00,02/01/2014 05:00,642.78
02/01/2014 05:00,02/01/2014 06:00,653.51
02/01/2014 06:00,02/01/2014 07:00,908.51
02/01/2014 07:00,02/01/2014 08:00,1009.8
02/01/2014 08:00,02/01/2014 09:00,1055.9
02/01/2014 09:00,02/01/2014 10:00,1105.8
02/01/2014 10:00,02/01/2014 11:00,1127
02/01/2014 11:00,02/01/2014 12:00,1101.5
02/01/2014 12:00,02/01/2014 13:00,1053.9
02/01/2014 13:00,02/01/2014 14:00,1114.5
02/01/2014 14:00,02/01/2014 15:00,1125.5
02/01/2014 15:00,02/01/2014 16:00,1129.7
02/01/2014 16:00,02/01/2014 17:00,1135.8
02/01/2014 17:00,02/01/2014 18:00,1130.1
02/01/2014 18:00,02/01/2014 19:00,845.85
02/01/2014 19:00,02/01/2014 20:00,817.54
02/01/2014 20:00,02/01/2014 21:00,654.12
02/01/2014 21:00,02/01/2014 22:00,612.06
02/01/2014 22:00,02/01/2014 23:00,530.24
02/01/2014 23:00,03/01/2014 00:00,507.65
03/01/2014 00:00,03/01/2014 01:00,486.09
03/01/2014 01:00,03/01/2014 02:00,480.16
03/01/2014 02:00,03/01/2014 03:00,483.17
03/01/2014 03:00,03/01/2014 04:00,489.3
03/01/2014 04:00,03/01/2014 05:00,573.3
03/01/2014 05:00,03/01/2014 06:00,574.33
03/01/2014 06:00,03/01/2014 07:00,808.83
03/01/2014 07:00,03/01/2014 08:00,930.07
