Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,0.53032
01/01/2014 01:00,01/01/2014 02:00,0.42875
01/01/2014 02:00,01/01/2014 03:00,0.32802
01/01/2014 03:00,01/01/2014 04:00,0.24664
01/01/2014 04:00,01/01/2014 05:00,0.22004
01/01/2014 05:00,01/01/2014 06:00,0.2128
01/01/2014 06:00,01/01/2014 07:00,0.2316
01/01/2014 07:00,01/01/2014 08:00,0.25375
01/01/2014 08:00,01/01/2014 09:00,0.31307
01/01/2014 09:00,01/01/2014 10:00,0.36631
01/01/2014 10:00,01/01/2014 11:00,0.47131
01/01/2014 11:00,01/01/2014 12:00,0.54747
01/01/2014 12:00,01/01/2014 13:00,0.55191
01/01/2014 13:00,01/01/2014 14:00,0.55818
01/01/2014 14:00,01/01/2014 15:00,0.54383
01/01/2014 15:00,01/01/2014 16:00,0.53581
01/01/2014 16:00,01/01/2014 17:00,0.56623
01/01/2014 17:00,01/01/2014 18:00,0.74938
01/01/2014 18:00,01/01/2014 19:00,0.78502
01/01/2014 19:00,01/01/2014 20:00,0.77049
01/01/2014 20:00,01/01/2014 21:00,0.75999
01/01/2014 21:00,01/01/2014 22:00,0.64421
01/01/2014 22:00,01/01/2014 23:00,0.57753
01/01/2014 23:00,02/01/2014 00:00,0.47597
02/01/2014 00:00,02/01/2014 01:00,0.3192
02/01/2014 01:00,02/01/2014 02:00,0.2436
02/01/2014 02:00,02/01/2014 03:00,0.217
02/01/2014 03:00,02/01/2014 04:00,0.20335
02/01/2014 04:00,02/01/2014 05:00,0.2023
02/01/2014 05:00,02/01/2014 06:00,0.21525
02/01/2014 06:00,02/01/2014 07:00,0.28
02/01/2014 07:00,02/01/2014 08:00,0.3766
02/01/2014 08:00,02/01/2014 09:00,0.45745
02/01/2014 09:00,02/01/2014 10:00,0.51135
02/01/2014 10:00,02/01/2014 11:00,0.5138
02/01/2014 11:00,02/01/2014 12:00,0.5124
02/01/2014 12:00,02/01/2014 13:00,0.53025
02/01/2014 13:00,02/01/2014 14:00,0.5166
02/01/2014 14:00,02/01/2014 15:00,0.5138
02/01/2014 15:00,02/01/2014 16:00,0.5159
02/01/2014 16:00,02/01/2014 17:00,0.5999
02/01/2014 17:00,02/01/2014 18:00,0.77028
02/01/2014 18:00,02/01/2014 19:00,0.80556
02/01/2014 19:00,02/01/2014 20:00,0.80871
02/01/2014 20:00,02/01/2014 21:00,0.742
02/01/2014 21:00,02/01/2014 22:00,0.6671
02/01/2014 22:00,02/01/2014 23:00,0.58555
02/01/2014 23:00,03/01/2014 00:00,0.46025
03/01/2014 00:00,03/01/2014 01:00,0.32375
03/01/2014 01:00,03/01/2014 02:00,0.24535
03/01/2014 02:00,03/01/2014 03:00,0.21175
03/01/2014 03:00,03/01/2014 04:00,0.20195
03/01/2014 04:00,03/01/2014 05:00,0.2044
03/01/2014 05:00,03/01/2014 06:00,0.21735
03/01/2014 06:00,03/01/2014 07:00,0.27265
03/01/2014 07:00,03/01/2014 08:00,0.3668
03/01/2014 08:00,03/01/2014 09:00,0.4662
03/01/2014 09:00,03/01/2014 10:00,0.53305
03/01/2014 10:00,03/01/2014 11:00,0.53515
03/01/2014 11:00,03/01/2014 12:00,0.53865
03/01/2014 12:00,03/01/2014 13:00,0.5551
03/01/2014 13:00,03/01/2014 14:00,0.5376
03/01/2014 14:00,03/01/2014 15:00,0.5362
03/01/2014 15:00,03/01/2014 16:00,0.52955
03/01/2014 16:00,03/01/2014 17:00,0.62055
03/01/2014 17:00,03/01/2014 18:00,0.79194
03/01/2014 18:00,03/01/2014 19:00,0.83034
03/01/2014 19:00,03/01/2014 20:00,0.82061
03/01/2014 20:00,03/01/2014 21:00,0.76682
03/01/2014 21:00,03/01/2014 22:00,0.6706
03/01/2014 22:00,03/01/2014 23:00,0.61285
03/01/2014 23:00,04/01/2014 00:00,0.4956
04/01/2014 00:00,04/01/2014 01:00,0.34615
04/01/2014 01:00,04/01/2014 02:00,0.2555
04/01/2014 02:00,04/01/2014 03:00,0.2226
04/01/2014 03:00,04/01/2014 04:00,0.2114
04/01/2014 04:00,04/01/2014 05:00,0.20685
04/01/2014 05:00,04/01/2014 06:00,0.21175
04/01/2014 06:00,04/01/2014 07:00,0.23485
04/01/2014 07:00,04/01/2014 08:00,0.3003
04/01/2014 08:00,04/01/2014 09:00,0.42
04/01/2014 09:00,04/01/2014 10:00,0.52115
04/01/2014 10:00,04/01/2014 11:00,0.5852
04/01/2014 11:00,04/01/2014 12:00,0.58695
04/01/2014 12:00,04/01/2014 13:00,0.5789
04/01/2014 13:00,04/01/2014 14:00,0.57855
04/01/2014 14:00,04/01/2014 15:00,0.56315
04/01/2014 15:00,04/01/2014 16:00,0.5628
04/01/2014 16:00,04/01/2014 17:00,0.62265
04/01/2014 17:00,04/01/2014 18:00,0.77693
04/01/2014 18:00,04/01/2014 19:00,0.80486
04/01/2014 19:00,04/01/2014 20:00,0.81221
04/01/2014 20:00,04/01/2014 21:00,0.7546
04/01/2014 21:00,04/01/2014 22:00,0.679
04/01/2014 22:00,04/01/2014 23:00,0.6083
04/01/2014 23:00,05/01/2014 00:00,0.4998
05/01/2014 00:00,05/01/2014 01:00,0.3612
05/01/2014 01:00,05/01/2014 02:00,0.26705
05/01/2014 02:00,05/01/2014 03:00,0.22085
05/01/2014 03:00,05/01/2014 04:00,0.20685
05/01/2014 04:00,05/01/2014 05:00,0.20405
05/01/2014 05:00,05/01/2014 06:00,0.2058
05/01/2014 06:00,05/01/2014 07:00,0.2184
05/01/2014 07:00,05/01/2014 08:00,0.26425
05/01/2014 08:00,05/01/2014 09:00,0.3619
05/01/2014 09:00,05/01/2014 10:00,0.4641
05/01/2014 10:00,05/01/2014 11:00,0.54075
05/01/2014 11:00,05/01/2014 12:00,0.59465
05/01/2014 12:00,05/01/2014 13:00,0.59885
05/01/2014 13:00,05/01/2014 14:00,0.59045
05/01/2014 14:00,05/01/2014 15:00,0.5719
05/01/2014 15:00,05/01/2014 16:00,0.55405
05/01/2014 16:00,05/01/2014 17:00,0.6055
05/01/2014 17:00,05/01/2014 18:00,0.77133
05/01/2014 18:00,05/01/2014 19:00,0.82131
05/01/2014 19:00,05/01/2014 20:00,0.79719
05/01/2014 20:00,05/01/2014 21:00,0.74025
05/01/2014 21:00,05/01/2014 22:00,0.67515
05/01/2014 22:00,05/01/2014 23:00,0.57295
05/01/2014 23:00,06/01/2014 00:00,0.4165
06/01/2014 00:00,06/01/2014 01:00,0.30625
06/01/2014 01:00,06/01/2014 02:00,0.2359
06/01/2014 02:00,06/01/2014 03:00,0.2051
06/01/2014 03:00,06/01/2014 04:00,0.196
06/01/2014 04:00,06/01/2014 05:00,0.19985
06/01/2014 05:00,06/01/2014 06:00,0.2205
06/01/2014 06:00,06/01/2014 07:00,0.2884
06/01/2014 07:00,06/01/2014 08:00,0.3976
06/01/2014 08:00,06/01/2014 09:00,0.4816
06/01/2014 09:00,06/01/2014 10:00,0.5446
06/01/2014 10:00,06/01/2014 11:00,0.553
06/01/2014 11:00,06/01/2014 12:00,0.54845
06/01/2014 12:00,06/01/2014 13:00,0.55335
06/01/2014 13:00,06/01/2014 14:00,0.5103
06/01/2014 14:00,06/01/2014 15:00,0.49315
06/01/2014 15:00,06/01/2014 16:00,0.49315
06/01/2014 16:00,06/01/2014 17:00,0.5754
06/01/2014 17:00,06/01/2014 18:00,0.75317
06/01/2014 18:00,06/01/2014 19:00,0.82131
06/01/2014 19:00,06/01/2014 20:00,0.84462
06/01/2014 20:00,06/01/2014 21:00,0.77801
06/01/2014 21:00,06/01/2014 22:00,0.68145
06/01/2014 22:00,06/01/2014 23:00,0.5817
06/01/2014 23:00,07/01/2014 00:00,0.43925
07/01/2014 00:00,07/01/2014 01:00,0.41482
07/01/2014 01:00,07/01/2014 02:00,0.32935
07/01/2014 02:00,07/01/2014 03:00,0.26799
07/01/2014 03:00,07/01/2014 04:00,0.22365
07/01/2014 04:00,07/01/2014 05:00,0.21119
07/01/2014 05:00,07/01/2014 06:00,0.21756
07/01/2014 06:00,07/01/2014 07:00,0.25953
07/01/2014 07:00,07/01/2014 08:00,0.32204
07/01/2014 08:00,07/01/2014 09:00,0.38301
07/01/2014 09:00,07/01/2014 10:00,0.42994
07/01/2014 10:00,07/01/2014 11:00,0.48209
07/01/2014 11:00,07/01/2014 12:00,0.51597
07/01/2014 12:00,07/01/2014 13:00,0.51835
07/01/2014 13:00,07/01/2014 14:00,0.51765
07/01/2014 14:00,07/01/2014 15:00,0.50432
07/01/2014 15:00,07/01/2014 16:00,0.50733
07/01/2014 16:00,07/01/2014 17:00,0.56311
07/01/2014 17:00,07/01/2014 18:00,0.73927
07/01/2014 18:00,07/01/2014 19:00,0.79254
07/01/2014 19:00,07/01/2014 20:00,0.79226
07/01/2014 20:00,07/01/2014 21:00,0.76328
07/01/2014 21:00,07/01/2014 22:00,0.66636
07/01/2014 22:00,07/01/2014 23:00,0.57631
07/01/2014 23:00,08/01/2014 00:00,0.45272
08/01/2014 00:00,08/01/2014 01:00,0.30485
08/01/2014 01:00,08/01/2014 02:00,0.23118
08/01/2014 02:00,08/01/2014 03:00,0.21035
08/01/2014 03:00,08/01/2014 04:00,0.20125
08/01/2014 04:00,08/01/2014 05:00,0.20143
08/01/2014 05:00,08/01/2014 06:00,0.21543
08/01/2014 06:00,08/01/2014 07:00,0.26968
08/01/2014 07:00,08/01/2014 08:00,0.37608
08/01/2014 08:00,08/01/2014 09:00,0.47477
08/01/2014 09:00,08/01/2014 10:00,0.49858
08/01/2014 10:00,08/01/2014 11:00,0.5103
08/01/2014 11:00,08/01/2014 12:00,0.50067
08/01/2014 12:00,08/01/2014 13:00,0.51398
08/01/2014 13:00,08/01/2014 14:00,0.50103
08/01/2014 14:00,08/01/2014 15:00,0.51275
08/01/2014 15:00,08/01/2014 16:00,0.51415
08/01/2014 16:00,08/01/2014 17:00,0.60427
08/01/2014 17:00,08/01/2014 18:00,0.77609
08/01/2014 18:00,08/01/2014 19:00,0.84462
08/01/2014 19:00,08/01/2014 20:00,0.83769
08/01/2014 20:00,08/01/2014 21:00,0.76016
08/01/2014 21:00,08/01/2014 22:00,0.67935
08/01/2014 22:00,08/01/2014 23:00,0.59098
08/01/2014 23:00,09/01/2014 00:00,0.45885
09/01/2014 00:00,09/01/2014 01:00,0.31535
09/01/2014 01:00,09/01/2014 02:00,0.24045
09/01/2014 02:00,09/01/2014 03:00,0.21455
09/01/2014 03:00,09/01/2014 04:00,0.2023
09/01/2014 04:00,09/01/2014 05:00,0.20213
09/01/2014 05:00,09/01/2014 06:00,0.21508
09/01/2014 06:00,09/01/2014 07:00,0.28192
09/01/2014 07:00,09/01/2014 08:00,0.38272
09/01/2014 08:00,09/01/2014 09:00,0.45885
09/01/2014 09:00,09/01/2014 10:00,0.50803
09/01/2014 10:00,09/01/2014 11:00,0.50785
09/01/2014 11:00,09/01/2014 12:00,0.50523
09/01/2014 12:00,09/01/2014 13:00,0.52273
09/01/2014 13:00,09/01/2014 14:00,0.50785
09/01/2014 14:00,09/01/2014 15:00,0.50697
09/01/2014 15:00,09/01/2014 16:00,0.51118
09/01/2014 16:00,09/01/2014 17:00,0.59237
09/01/2014 17:00,09/01/2014 18:00,0.76192
09/01/2014 18:00,09/01/2014 19:00,0.80178
09/01/2014 19:00,09/01/2014 20:00,0.80419
09/01/2014 20:00,09/01/2014 21:00,0.74007
09/01/2014 21:00,09/01/2014 22:00,0.6636
09/01/2014 22:00,09/01/2014 23:00,0.57943
09/01/2014 23:00,10/01/2014 00:00,0.45203
10/01/2014 00:00,10/01/2014 01:00,0.31868
10/01/2014 01:00,10/01/2014 02:00,0.2422
10/01/2014 02:00,10/01/2014 03:00,0.20913
10/01/2014 03:00,10/01/2014 04:00,0.20038
10/01/2014 04:00,10/01/2014 05:00,0.20265
