Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,160.63
01/01/2014 01:00,01/01/2014 02:00,150.84
01/01/2014 02:00,01/01/2014 03:00,129.34
01/01/2014 03:00,01/01/2014 04:00,126.56
01/01/2014 04:00,01/01/2014 05:00,134.31
01/01/2014 05:00,01/01/2014 06:00,151.34
01/01/2014 06:00,01/01/2014 07:00,234.71
01/01/2014 07:00,01/01/2014 08:00,314.79
01/01/2014 08:00,01/01/2014 09:00,365.88
01/01/2014 09:00,01/01/2014 10:00,276.43
01/01/2014 10:00,01/01/2014 11:00,212.7
01/01/2014 11:00,01/01/2014 12:00,198.89
01/01/2014 12:00,01/01/2014 13:00,194.21
01/01/2014 13:00,01/01/2014 14:00,173.93
01/01/2014 14:00,01/01/2014 15:00,173.61
01/01/2014 15:00,01/01/2014 16:00,165.3
01/01/2014 16:00,01/01/2014 17:00,196.21
01/01/2014 17:00,01/01/2014 18:00,238.14
01/01/2014 18:00,01/01/2014 19:00,312.36
01/01/2014 19:00,01/01/2014 20:00,326.81
01/01/2014 20:00,01/01/2014 21:00,357.73
01/01/2014 21:00,01/01/2014 22:00,375.11
01/01/2014 22:00,01/01/2014 23:00,306.27
01/01/2014 23:00,02/01/2014 00:00,210.41
02/01/2014 00:00,02/01/2014 01:00,147.48
02/01/2014 01:00,02/01/2014 02:00,132.15
02/01/2014 02:00,02/01/2014 03:00,117.01
02/01/2014 03:00,02/01/2014 04:00,115.49
02/01/2014 04:00,02/01/2014 05:00,123.89
02/01/2014 05:00,02/01/2014 06:00,160.79
02/01/2014 06:00,02/01/2014 07:00,292.29
02/01/2014 07:00,02/01/2014 08:00,372.04
02/01/2014 08:00,02/01/2014 09:00,301.7
02/01/2014 09:00,02/01/2014 10:00,253.28
02/01/2014 10:00,02/01/2014 11:00,194.56
02/01/2014 11:00,02/01/2014 12:00,184.5
02/01/2014 12:00,02/01/2014 13:00,183.7
02/01/2014 13:00,02/01/2014 14:00,181.09
02/01/2014 14:00,02/01/2014 15:00,183.08
02/01/2014 15:00,02/01/2014 16:00,171.96
02/01/2014 16:00,02/01/2014 17:00,201.41
02/01/2014 17:00,02/01/2014 18:00,254.46
02/01/2014 18:00,02/01/2014 19:00,326.27
02/01/2014 19:00,02/01/2014 20:00,337.91
02/01/2014 20:00,02/01/2014 21:00,412.88
02/01/2014 21:00,02/01/2014 22:00,385.81
02/01/2014 22:00,02/01/2014 23:00,290.45
02/01/2014 23:00,03/01/2014 00:00,197.85
03/01/2014 00:00,03/01/2014 01:00,145.78
03/01/2014 01:00,03/01/2014 02:00,132.98
03/01/2014 02:00,03/01/2014 03:00,122.18
03/01/2014 03:00,03/01/2014 04:00,121.08
03/01/2014 04:00,03/01/2014 05:00,129.83
03/01/2014 05:00,03/01/2014 06:00,166.17
03/01/2014 06:00,03/01/2014 07:00,294.76
03/01/2014 07:00,03/01/2014 08:00,378.44
03/01/2014 08:00,03/01/2014 09:00,307.43
03/01/2014 09:00,03/01/2014 10:00,252.93
03/01/2014 10:00,03/01/2014 11:00,191.1
03/01/2014 11:00,03/01/2014 12:00,185.19
03/01/2014 12:00,03/01/2014 13:00,183.85
03/01/2014 13:00,03/01/2014 14:00,165.81
03/01/2014 14:00,03/01/2014 15:00,167.48
03/01/2014 15:00,03/01/2014 16:00,171.22
03/01/2014 16:00,03/01/2014 17:00,206.25
03/01/2014 17:00,03/01/2014 18:00,258.81
03/01/2014 18:00,03/01/2014 19:00,330.46
03/01/2014 19:00,03/01/2014 20:00,339.46
03/01/2014 20:00,03/01/2014 21:00,372.53
03/01/2014 21:00,03/01/2014 22:00,363.84
03/01/2014 22:00,03/01/2014 23:00,281.51
03/01/2014 23:00,04/01/2014 00:00,198.24
04/01/2014 00:00,04/01/2014 01:00,166.48
04/01/2014 01:00,04/01/2014 02:00,151.8
04/01/2014 02:00,04/01/2014 03:00,126.01
04/01/2014 03:00,04/01/2014 04:00,121.33
04/01/2014 04:00,04/01/2014 05:00,127.81
04/01/2014 05:00,04/01/2014 06:00,141.55
04/01/2014 06:00,04/01/2014 07:00,232.56
