Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,260.9
01/01/2014 01:00,01/01/2014 02:00,257.33
01/01/2014 02:00,01/01/2014 03:00,261.4
01/01/2014 03:00,01/01/2014 04:00,257.36
01/01/2014 04:00,01/01/2014 05:00,273.66
01/01/2014 05:00,01/01/2014 06:00,294.01
01/01/2014 06:00,01/01/2014 07:00,346.94
01/01/2014 07:00,01/01/2014 08:00,367.35
01/01/2014 08:00,01/01/2014 09:00,362.93
01/01/2014 09:00,01/01/2014 10:00,279.52
01/01/2014 10:00,01/01/2014 11:00,234.63
01/01/2014 11:00,01/01/2014 12:00,230.54
01/01/2014 12:00,01/01/2014 13:00,234.54
01/01/2014 13:00,01/01/2014 14:00,230.51
01/01/2014 14:00,01/01/2014 15:00,234.56
01/01/2014 15:00,01/01/2014 16:00,230.09
01/01/2014 16:00,01/01/2014 17:00,309.49
01/01/2014 17:00,01/01/2014 18:00,367.03
01/01/2014 18:00,01/01/2014 19:00,371.76
01/01/2014 19:00,01/01/2014 20:00,342.58
01/01/2014 20:00,01/01/2014 21:00,347.45
01/01/2014 21:00,01/01/2014 22:00,318.11
01/01/2014 22:00,01/01/2014 23:00,298.44
01/01/2014 23:00,02/01/2014 00:00,269.19
02/01/2014 00:00,02/01/2014 01:00,311.55
02/01/2014 01:00,02/01/2014 02:00,306.77
02/01/2014 02:00,02/01/2014 03:00,311.64
02/01/2014 03:00,02/01/2014 04:00,306.85
02/01/2014 04:00,02/01/2014 05:00,323.82
02/01/2014 05:00,02/01/2014 06:00,368.3
02/01/2014 06:00,02/01/2014 07:00,433.87
02/01/2014 07:00,02/01/2014 08:00,558.2
02/01/2014 08:00,02/01/2014 09:00,1096.1
02/01/2014 09:00,02/01/2014 10:00,1015.2
02/01/2014 10:00,02/01/2014 11:00,965.76
02/01/2014 11:00,02/01/2014 12:00,965.79
02/01/2014 12:00,02/01/2014 13:00,915.97
02/01/2014 13:00,02/01/2014 14:00,964.3
02/01/2014 14:00,02/01/2014 15:00,963.89
02/01/2014 15:00,02/01/2014 16:00,963.76
02/01/2014 16:00,02/01/2014 17:00,1038.3
02/01/2014 17:00,02/01/2014 18:00,951.35
02/01/2014 18:00,02/01/2014 19:00,752.51
02/01/2014 19:00,02/01/2014 20:00,728.09
02/01/2014 20:00,02/01/2014 21:00,579.26
02/01/2014 21:00,02/01/2014 22:00,554.8
02/01/2014 22:00,02/01/2014 23:00,349.36
02/01/2014 23:00,03/01/2014 00:00,299.99
03/01/2014 00:00,03/01/2014 01:00,287.77
03/01/2014 01:00,03/01/2014 02:00,287.77
03/01/2014 02:00,03/01/2014 03:00,287.77
03/01/2014 03:00,03/01/2014 04:00,289.67
03/01/2014 04:00,03/01/2014 05:00,301.51
03/01/2014 05:00,03/01/2014 06:00,351.26
03/01/2014 06:00,03/01/2014 07:00,432.52
03/01/2014 07:00,03/01/2014 08:00,555.53
03/01/2014 08:00,03/01/2014 09:00,1092.8
03/01/2014 09:00,03/01/2014 10:00,1013
03/01/2014 10:00,03/01/2014 11:00,963.88
03/01/2014 11:00,03/01/2014 12:00,963.7
03/01/2014 12:00,03/01/2014 13:00,913.92
03/01/2014 13:00,03/01/2014 14:00,963.53
03/01/2014 14:00,03/01/2014 15:00,963.36
03/01/2014 15:00,03/01/2014 16:00,963.34
03/01/2014 16:00,03/01/2014 17:00,1038.1
03/01/2014 17:00,03/01/2014 18:00,951.01
03/01/2014 18:00,03/01/2014 19:00,751.88
03/01/2014 19:00,03/01/2014 20:00,727.53
03/01/2014 20:00,03/01/2014 21:00,578.36
03/01/2014 21:00,03/01/2014 22:00,554.02
03/01/2014 22:00,03/01/2014 23:00,349.36
03/01/2014 23:00,04/01/2014 00:00,299.99
04/01/2014 00:00,04/01/2014 01:00,237.93
04/01/2014 01:00,04/01/2014 02:00,239.07
04/01/2014 02:00,04/01/2014 03:00,239.83
04/01/2014 03:00,04/01/2014 04:00,239.45
04/01/2014 04:00,04/01/2014 05:00,252.06
04/01/2014 05:00,04/01/2014 06:00,276.13
04/01/2014 06:00,04/01/2014 07:00,431.67
04/01/2014 07:00,04/01/2014 08:00,455.5
04/01/2014 08:00,04/01/2014 09:00,695.07
04/01/2014 09:00,04/01/2014 10:00,615.13
04/01/2014 10:00,04/01/2014 11:00,565.78
04/01/2014 11:00,04/01/2014 12:00,565.43
04/01/2014 12:00,04/01/2014 13:00,565.2
04/01/2014 13:00,04/01/2014 14:00,565.05
04/01/2014 14:00,04/01/2014 15:00,316.23
04/01/2014 15:00,04/01/2014 16:00,316.39
04/01/2014 16:00,04/01/2014 17:00,391.27
04/01/2014 17:00,04/01/2014 18:00,379.33
04/01/2014 18:00,04/01/2014 19:00,347.93
04/01/2014 19:00,04/01/2014 20:00,323.49
04/01/2014 20:00,04/01/2014 21:00,325
04/01/2014 21:00,04/01/2014 22:00,300.94
04/01/2014 22:00,04/01/2014 23:00,276.13
04/01/2014 23:00,05/01/2014 00:00,252.07
05/01/2014 00:00,05/01/2014 01:00,258.34
05/01/2014 01:00,05/01/2014 02:00,255.6
05/01/2014 02:00,05/01/2014 03:00,259.22
05/01/2014 03:00,05/01/2014 04:00,255.67
05/01/2014 04:00,05/01/2014 05:00,271.53
05/01/2014 05:00,05/01/2014 06:00,292.41
05/01/2014 06:00,05/01/2014 07:00,344.96
05/01/2014 07:00,05/01/2014 08:00,365.81
05/01/2014 08:00,05/01/2014 09:00,360.95
05/01/2014 09:00,05/01/2014 10:00,277.85
05/01/2014 10:00,05/01/2014 11:00,232.52
05/01/2014 11:00,05/01/2014 12:00,228.87
05/01/2014 12:00,05/01/2014 13:00,232.44
05/01/2014 13:00,05/01/2014 14:00,228.85
