Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,66.324
01/01/2014 01:00,01/01/2014 02:00,62.141
01/01/2014 02:00,01/01/2014 03:00,71.842
01/01/2014 03:00,01/01/2014 04:00,63.335
01/01/2014 04:00,01/01/2014 05:00,72.168
01/01/2014 05:00,01/01/2014 06:00,59.715
01/01/2014 06:00,01/01/2014 07:00,67.004
01/01/2014 07:00,01/01/2014 08:00,62.648
01/01/2014 08:00,01/01/2014 09:00,71.208
01/01/2014 09:00,01/01/2014 10:00,53.38
01/01/2014 10:00,01/01/2014 11:00,59.166
01/01/2014 11:00,01/01/2014 12:00,48.61
01/01/2014 12:00,01/01/2014 13:00,54.729
01/01/2014 13:00,01/01/2014 14:00,45.022
01/01/2014 14:00,01/01/2014 15:00,54.093
01/01/2014 15:00,01/01/2014 16:00,43.276
01/01/2014 16:00,01/01/2014 17:00,64.039
01/01/2014 17:00,01/01/2014 18:00,65.143
01/01/2014 18:00,01/01/2014 19:00,67.325
01/01/2014 19:00,01/01/2014 20:00,67.331
01/01/2014 20:00,01/01/2014 21:00,77.121
01/01/2014 21:00,01/01/2014 22:00,63.977
01/01/2014 22:00,01/01/2014 23:00,71.168
01/01/2014 23:00,02/01/2014 00:00,60.04
02/01/2014 00:00,02/01/2014 01:00,70.685
02/01/2014 01:00,02/01/2014 02:00,63.619
02/01/2014 02:00,02/01/2014 03:00,76.973
02/01/2014 03:00,02/01/2014 04:00,69.844
02/01/2014 04:00,02/01/2014 05:00,75.827
02/01/2014 05:00,02/01/2014 06:00,69.624
02/01/2014 06:00,02/01/2014 07:00,271.81
02/01/2014 07:00,02/01/2014 08:00,256.19
02/01/2014 08:00,02/01/2014 09:00,265.84
02/01/2014 09:00,02/01/2014 10:00,219.53
02/01/2014 10:00,02/01/2014 11:00,201.87
02/01/2014 11:00,02/01/2014 12:00,201.08
02/01/2014 12:00,02/01/2014 13:00,201.95
02/01/2014 13:00,02/01/2014 14:00,181.29
02/01/2014 14:00,02/01/2014 15:00,169.7
02/01/2014 15:00,02/01/2014 16:00,168.08
02/01/2014 16:00,02/01/2014 17:00,179.56
02/01/2014 17:00,02/01/2014 18:00,183.65
02/01/2014 18:00,02/01/2014 19:00,156.73
02/01/2014 19:00,02/01/2014 20:00,157.09
02/01/2014 20:00,02/01/2014 21:00,152.6
02/01/2014 21:00,02/01/2014 22:00,153.29
02/01/2014 22:00,02/01/2014 23:00,41.617
02/01/2014 23:00,03/01/2014 00:00,38.936
03/01/2014 00:00,03/01/2014 01:00,38.936
03/01/2014 01:00,03/01/2014 02:00,38.936
03/01/2014 02:00,03/01/2014 03:00,38.936
03/01/2014 03:00,03/01/2014 04:00,41.847
03/01/2014 04:00,03/01/2014 05:00,45.053
03/01/2014 05:00,03/01/2014 06:00,48.274
03/01/2014 06:00,03/01/2014 07:00,201.28
03/01/2014 07:00,03/01/2014 08:00,186.14
03/01/2014 08:00,03/01/2014 09:00,214.18
03/01/2014 09:00,03/01/2014 10:00,183.18
03/01/2014 10:00,03/01/2014 11:00,173.85
03/01/2014 11:00,03/01/2014 12:00,169.7
03/01/2014 12:00,03/01/2014 13:00,172.93
03/01/2014 13:00,03/01/2014 14:00,162
03/01/2014 14:00,03/01/2014 15:00,148.46
03/01/2014 15:00,03/01/2014 16:00,145.2
03/01/2014 16:00,03/01/2014 17:00,162.5
03/01/2014 17:00,03/01/2014 18:00,167.91
03/01/2014 18:00,03/01/2014 19:00,143.39
03/01/2014 19:00,03/01/2014 20:00,143.71
03/01/2014 20:00,03/01/2014 21:00,138.68
03/01/2014 21:00,03/01/2014 22:00,141.22
03/01/2014 22:00,03/01/2014 23:00,41.617
03/01/2014 23:00,04/01/2014 00:00,38.936
04/01/2014 00:00,04/01/2014 01:00,33.575
04/01/2014 01:00,04/01/2014 02:00,33.575
04/01/2014 02:00,04/01/2014 03:00,38.133
04/01/2014 03:00,04/01/2014 04:00,42.111
04/01/2014 04:00,04/01/2014 05:00,41.104
04/01/2014 05:00,04/01/2014 06:00,44.1
04/01/2014 06:00,04/01/2014 07:00,198.97
04/01/2014 07:00,04/01/2014 08:00,173.92
04/01/2014 08:00,04/01/2014 09:00,177.6
04/01/2014 09:00,04/01/2014 10:00,153.6
04/01/2014 10:00,04/01/2014 11:00,140.08
04/01/2014 11:00,04/01/2014 12:00,127.23
04/01/2014 12:00,04/01/2014 13:00,117.24
04/01/2014 13:00,04/01/2014 14:00,110.87
04/01/2014 14:00,04/01/2014 15:00,94.579
04/01/2014 15:00,04/01/2014 16:00,100.95
04/01/2014 16:00,04/01/2014 17:00,121.43
04/01/2014 17:00,04/01/2014 18:00,132.29
04/01/2014 18:00,04/01/2014 19:00,33.575
04/01/2014 19:00,04/01/2014 20:00,33.575
04/01/2014 20:00,04/01/2014 21:00,33.575
04/01/2014 21:00,04/01/2014 22:00,39.464
04/01/2014 22:00,04/01/2014 23:00,42.157
04/01/2014 23:00,05/01/2014 00:00,41.735
05/01/2014 00:00,05/01/2014 01:00,44.371
05/01/2014 01:00,05/01/2014 02:00,43.692
05/01/2014 02:00,05/01/2014 03:00,46.481
05/01/2014 03:00,05/01/2014 04:00,50.952
05/01/2014 04:00,05/01/2014 05:00,54.978
05/01/2014 05:00,05/01/2014 06:00,60.826
05/01/2014 06:00,05/01/2014 07:00,62.544
05/01/2014 07:00,05/01/2014 08:00,65.263
05/01/2014 08:00,05/01/2014 09:00,62.921
05/01/2014 09:00,05/01/2014 10:00,47.987
05/01/2014 10:00,05/01/2014 11:00,43.767
05/01/2014 11:00,05/01/2014 12:00,37.163
05/01/2014 12:00,05/01/2014 13:00,34.855
05/01/2014 13:00,05/01/2014 14:00,35.056
05/01/2014 14:00,05/01/2014 15:00,38.1
05/01/2014 15:00,05/01/2014 16:00,41.005
05/01/2014 16:00,05/01/2014 17:00,54.328
05/01/2014 17:00,05/01/2014 18:00,65.828
05/01/2014 18:00,05/01/2014 19:00,66.747
05/01/2014 19:00,05/01/2014 20:00,69.139
05/01/2014 20:00,05/01/2014 21:00,69.589
05/01/2014 21:00,05/01/2014 22:00,71.675
05/01/2014 22:00,05/01/2014 23:00,71.411
05/01/2014 23:00,06/01/2014 00:00,73.793
06/01/2014 00:00,06/01/2014 01:00,77.248
06/01/2014 01:00,06/01/2014 02:00,79.622
06/01/2014 02:00,06/01/2014 03:00,79.119
06/01/2014 03:00,06/01/2014 04:00,81.263
06/01/2014 04:00,06/01/2014 05:00,80.217
06/01/2014 05:00,06/01/2014 06:00,84.434
06/01/2014 06:00,06/01/2014 07:00,272.21
06/01/2014 07:00,06/01/2014 08:00,253.47
06/01/2014 08:00,06/01/2014 09:00,265.84
06/01/2014 09:00,06/01/2014 10:00,230.05
06/01/2014 10:00,06/01/2014 11:00,217.76
06/01/2014 11:00,06/01/2014 12:00,210.96
06/01/2014 12:00,06/01/2014 13:00,212.23
06/01/2014 13:00,06/01/2014 14:00,199.48
06/01/2014 14:00,06/01/2014 15:00,190.75
06/01/2014 15:00,06/01/2014 16:00,187.02
06/01/2014 16:00,06/01/2014 17:00,193.52
06/01/2014 17:00,06/01/2014 18:00,194.95
06/01/2014 18:00,06/01/2014 19:00,167.4
06/01/2014 19:00,06/01/2014 20:00,166.57
06/01/2014 20:00,06/01/2014 21:00,165.26
06/01/2014 21:00,06/01/2014 22:00,164.47
06/01/2014 22:00,06/01/2014 23:00,41.617
06/01/2014 23:00,07/01/2014 00:00,38.936
07/01/2014 00:00,07/01/2014 01:00,38.936
07/01/2014 01:00,07/01/2014 02:00,40.51
07/01/2014 02:00,07/01/2014 03:00,46.458
07/01/2014 03:00,07/01/2014 04:00,46.006
07/01/2014 04:00,07/01/2014 05:00,48.341
07/01/2014 05:00,07/01/2014 06:00,50.106
07/01/2014 06:00,07/01/2014 07:00,208.81
07/01/2014 07:00,07/01/2014 08:00,190.7
07/01/2014 08:00,07/01/2014 09:00,218.24
07/01/2014 09:00,07/01/2014 10:00,187.85
