Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,56.231
01/01/2014 01:00,01/01/2014 02:00,56.517
01/01/2014 02:00,01/01/2014 03:00,56.794
01/01/2014 03:00,01/01/2014 04:00,56.23
01/01/2014 04:00,01/01/2014 05:00,56.724
01/01/2014 05:00,01/01/2014 06:00,56.706
01/01/2014 06:00,01/01/2014 07:00,56.719
01/01/2014 07:00,01/01/2014 08:00,56.368
01/01/2014 08:00,01/01/2014 09:00,54.94
01/01/2014 09:00,01/01/2014 10:00,47.794
01/01/2014 10:00,01/01/2014 11:00,47.78
01/01/2014 11:00,01/01/2014 12:00,48.775
01/01/2014 12:00,01/01/2014 13:00,47.478
01/01/2014 13:00,01/01/2014 14:00,47.787
01/01/2014 14:00,01/01/2014 15:00,47.805
01/01/2014 15:00,01/01/2014 16:00,46.967
01/01/2014 16:00,01/01/2014 17:00,52.001
01/01/2014 17:00,01/01/2014 18:00,56.287
01/01/2014 18:00,01/01/2014 19:00,56.286
01/01/2014 19:00,01/01/2014 20:00,56.491
01/01/2014 20:00,01/01/2014 21:00,56.755
01/01/2014 21:00,01/01/2014 22:00,56.937
01/01/2014 22:00,01/01/2014 23:00,56.416
01/01/2014 23:00,02/01/2014 00:00,57.229
02/01/2014 00:00,02/01/2014 01:00,56.507
02/01/2014 01:00,02/01/2014 02:00,56.225
02/01/2014 02:00,02/01/2014 03:00,56.907
02/01/2014 03:00,02/01/2014 04:00,56.629
02/01/2014 04:00,02/01/2014 05:00,57.008
02/01/2014 05:00,02/01/2014 06:00,57.099
02/01/2014 06:00,02/01/2014 07:00,63.989
02/01/2014 07:00,02/01/2014 08:00,128.84
02/01/2014 08:00,02/01/2014 09:00,171.85
02/01/2014 09:00,02/01/2014 10:00,164.61
02/01/2014 10:00,02/01/2014 11:00,168.57
02/01/2014 11:00,02/01/2014 12:00,169.34
02/01/2014 12:00,02/01/2014 13:00,168.6
02/01/2014 13:00,02/01/2014 14:00,164.58
02/01/2014 14:00,02/01/2014 15:00,164.56
02/01/2014 15:00,02/01/2014 16:00,162.53
02/01/2014 16:00,02/01/2014 17:00,166.72
02/01/2014 17:00,02/01/2014 18:00,127.79
02/01/2014 18:00,02/01/2014 19:00,127.82
02/01/2014 19:00,02/01/2014 20:00,128.07
02/01/2014 20:00,02/01/2014 21:00,128.1
02/01/2014 21:00,02/01/2014 22:00,55.49
02/01/2014 22:00,02/01/2014 23:00,55.377
02/01/2014 23:00,03/01/2014 00:00,56.157
03/01/2014 00:00,03/01/2014 01:00,55.398
03/01/2014 01:00,03/01/2014 02:00,55.396
03/01/2014 02:00,03/01/2014 03:00,55.393
03/01/2014 03:00,03/01/2014 04:00,55.392
03/01/2014 04:00,03/01/2014 05:00,56.446
03/01/2014 05:00,03/01/2014 06:00,56.272
03/01/2014 06:00,03/01/2014 07:00,64.499
03/01/2014 07:00,03/01/2014 08:00,128.68
03/01/2014 08:00,03/01/2014 09:00,171.91
03/01/2014 09:00,03/01/2014 10:00,164.74
03/01/2014 10:00,03/01/2014 11:00,168.69
03/01/2014 11:00,03/01/2014 12:00,169.4
03/01/2014 12:00,03/01/2014 13:00,168.64
03/01/2014 13:00,03/01/2014 14:00,164.65
03/01/2014 14:00,03/01/2014 15:00,164.64
03/01/2014 15:00,03/01/2014 16:00,162.63
03/01/2014 16:00,03/01/2014 17:00,166.85
03/01/2014 17:00,03/01/2014 18:00,127.93
03/01/2014 18:00,03/01/2014 19:00,127.97
03/01/2014 19:00,03/01/2014 20:00,128
03/01/2014 20:00,03/01/2014 21:00,128.03
03/01/2014 21:00,03/01/2014 22:00,55.307
03/01/2014 22:00,03/01/2014 23:00,55.353
03/01/2014 23:00,04/01/2014 00:00,56.145
04/01/2014 00:00,04/01/2014 01:00,55.38
04/01/2014 01:00,04/01/2014 02:00,55.377
04/01/2014 02:00,04/01/2014 03:00,56.121
04/01/2014 03:00,04/01/2014 04:00,56.487
04/01/2014 04:00,04/01/2014 05:00,56.978
