Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,13.522
01/01/2014 01:00,01/01/2014 02:00,9.5507
01/01/2014 02:00,01/01/2014 03:00,9.5737
01/01/2014 03:00,01/01/2014 04:00,9.5848
01/01/2014 04:00,01/01/2014 05:00,9.7338
01/01/2014 05:00,01/01/2014 06:00,13.668
01/01/2014 06:00,01/01/2014 07:00,28.139
01/01/2014 07:00,01/01/2014 08:00,28.093
01/01/2014 08:00,01/01/2014 09:00,22.453
01/01/2014 09:00,01/01/2014 10:00,20.552
01/01/2014 10:00,01/01/2014 11:00,25.551
01/01/2014 11:00,01/01/2014 12:00,26.701
01/01/2014 12:00,01/01/2014 13:00,25.774
01/01/2014 13:00,01/01/2014 14:00,25.571
01/01/2014 14:00,01/01/2014 15:00,20.575
01/01/2014 15:00,01/01/2014 16:00,20.575
01/01/2014 16:00,01/01/2014 17:00,21.75
01/01/2014 17:00,01/01/2014 18:00,28.015
01/01/2014 18:00,01/01/2014 19:00,28.022
01/01/2014 19:00,01/01/2014 20:00,28.161
01/01/2014 20:00,01/01/2014 21:00,23.15
01/01/2014 21:00,01/01/2014 22:00,23.093
01/01/2014 22:00,01/01/2014 23:00,22.987
01/01/2014 23:00,02/01/2014 00:00,24.171
02/01/2014 00:00,02/01/2014 01:00,13.707
02/01/2014 01:00,02/01/2014 02:00,9.5317
02/01/2014 02:00,02/01/2014 03:00,9.5463
02/01/2014 03:00,02/01/2014 04:00,9.5639
02/01/2014 04:00,02/01/2014 05:00,9.7291
02/01/2014 05:00,02/01/2014 06:00,13.671
02/01/2014 06:00,02/01/2014 07:00,28.151
02/01/2014 07:00,02/01/2014 08:00,28.093
02/01/2014 08:00,02/01/2014 09:00,22.466
02/01/2014 09:00,02/01/2014 10:00,20.592
02/01/2014 10:00,02/01/2014 11:00,25.59
02/01/2014 11:00,02/01/2014 12:00,26.706
02/01/2014 12:00,02/01/2014 13:00,25.792
02/01/2014 13:00,02/01/2014 14:00,25.61
02/01/2014 14:00,02/01/2014 15:00,20.612
02/01/2014 15:00,02/01/2014 16:00,20.595
02/01/2014 16:00,02/01/2014 17:00,21.771
02/01/2014 17:00,02/01/2014 18:00,28.033
02/01/2014 18:00,02/01/2014 19:00,28.03
02/01/2014 19:00,02/01/2014 20:00,28.167
02/01/2014 20:00,02/01/2014 21:00,23.141
02/01/2014 21:00,02/01/2014 22:00,23.075
02/01/2014 22:00,02/01/2014 23:00,22.965
02/01/2014 23:00,03/01/2014 00:00,24.151
03/01/2014 00:00,03/01/2014 01:00,13.674
03/01/2014 01:00,03/01/2014 02:00,9.5021
03/01/2014 02:00,03/01/2014 03:00,9.5312
03/01/2014 03:00,03/01/2014 04:00,9.5493
03/01/2014 04:00,03/01/2014 05:00,10.212
03/01/2014 05:00,03/01/2014 06:00,14.149
03/01/2014 06:00,03/01/2014 07:00,28.335
03/01/2014 07:00,03/01/2014 08:00,28.059
03/01/2014 08:00,03/01/2014 09:00,22.428
03/01/2014 09:00,03/01/2014 10:00,20.546
03/01/2014 10:00,03/01/2014 11:00,25.552
03/01/2014 11:00,03/01/2014 12:00,26.7
03/01/2014 12:00,03/01/2014 13:00,25.776
03/01/2014 13:00,03/01/2014 14:00,25.578
03/01/2014 14:00,03/01/2014 15:00,20.576
03/01/2014 15:00,03/01/2014 16:00,20.556
03/01/2014 16:00,03/01/2014 17:00,21.728
03/01/2014 17:00,03/01/2014 18:00,27.993
03/01/2014 18:00,03/01/2014 19:00,27.994
03/01/2014 19:00,03/01/2014 20:00,27.993
03/01/2014 20:00,03/01/2014 21:00,22.987
03/01/2014 21:00,03/01/2014 22:00,22.95
03/01/2014 22:00,03/01/2014 23:00,22.948
03/01/2014 23:00,04/01/2014 00:00,24.147
04/01/2014 00:00,04/01/2014 01:00,13.664
04/01/2014 01:00,04/01/2014 02:00,9.4885
04/01/2014 02:00,04/01/2014 03:00,9.5136
04/01/2014 03:00,04/01/2014 04:00,9.5274
04/01/2014 04:00,04/01/2014 05:00,9.6783
04/01/2014 05:00,04/01/2014 06:00,13.62
04/01/2014 06:00,04/01/2014 07:00,28.094
04/01/2014 07:00,04/01/2014 08:00,28.049
04/01/2014 08:00,04/01/2014 09:00,22.416
04/01/2014 09:00,04/01/2014 10:00,20.528
04/01/2014 10:00,04/01/2014 11:00,25.525
04/01/2014 11:00,04/01/2014 12:00,26.682
04/01/2014 12:00,04/01/2014 13:00,25.748
04/01/2014 13:00,04/01/2014 14:00,25.553
04/01/2014 14:00,04/01/2014 15:00,20.553
04/01/2014 15:00,04/01/2014 16:00,20.536
04/01/2014 16:00,04/01/2014 17:00,21.715
04/01/2014 17:00,04/01/2014 18:00,27.982
04/01/2014 18:00,04/01/2014 19:00,27.984
04/01/2014 19:00,04/01/2014 20:00,28.127
04/01/2014 20:00,04/01/2014 21:00,23.112
04/01/2014 21:00,04/01/2014 22:00,23.046
04/01/2014 22:00,04/01/2014 23:00,22.941
04/01/2014 23:00,05/01/2014 00:00,24.139
05/01/2014 00:00,05/01/2014 01:00,13.656
05/01/2014 01:00,05/01/2014 02:00,9.4774
05/01/2014 02:00,05/01/2014 03:00,9.5015
05/01/2014 03:00,05/01/2014 04:00,9.5152
05/01/2014 04:00,05/01/2014 05:00,9.6662
05/01/2014 05:00,05/01/2014 06:00,13.61
05/01/2014 06:00,05/01/2014 07:00,28.085
05/01/2014 07:00,05/01/2014 08:00,28.04
05/01/2014 08:00,05/01/2014 09:00,22.406
05/01/2014 09:00,05/01/2014 10:00,20.518
05/01/2014 10:00,05/01/2014 11:00,25.514
05/01/2014 11:00,05/01/2014 12:00,26.671
05/01/2014 12:00,05/01/2014 13:00,25.734
05/01/2014 13:00,05/01/2014 14:00,25.533
05/01/2014 14:00,05/01/2014 15:00,20.535
05/01/2014 15:00,05/01/2014 16:00,20.52
05/01/2014 16:00,05/01/2014 17:00,21.703
05/01/2014 17:00,05/01/2014 18:00,27.971
05/01/2014 18:00,05/01/2014 19:00,27.973
05/01/2014 19:00,05/01/2014 20:00,28.118
05/01/2014 20:00,05/01/2014 21:00,23.106
05/01/2014 21:00,05/01/2014 22:00,23.042
05/01/2014 22:00,05/01/2014 23:00,22.937
05/01/2014 23:00,06/01/2014 00:00,24.137
06/01/2014 00:00,06/01/2014 01:00,13.658
06/01/2014 01:00,06/01/2014 02:00,9.4788
06/01/2014 02:00,06/01/2014 03:00,9.5036
06/01/2014 03:00,06/01/2014 04:00,9.518
06/01/2014 04:00,06/01/2014 05:00,9.6698
06/01/2014 05:00,06/01/2014 06:00,13.615
06/01/2014 06:00,06/01/2014 07:00,28.091
06/01/2014 07:00,06/01/2014 08:00,28.046
06/01/2014 08:00,06/01/2014 09:00,22.413
06/01/2014 09:00,06/01/2014 10:00,20.524
06/01/2014 10:00,06/01/2014 11:00,25.519
06/01/2014 11:00,06/01/2014 12:00,26.674
06/01/2014 12:00,06/01/2014 13:00,25.74
06/01/2014 13:00,06/01/2014 14:00,25.542
06/01/2014 14:00,06/01/2014 15:00,20.544
06/01/2014 15:00,06/01/2014 16:00,20.528
06/01/2014 16:00,06/01/2014 17:00,21.713
06/01/2014 17:00,06/01/2014 18:00,27.982
06/01/2014 18:00,06/01/2014 19:00,27.986
06/01/2014 19:00,06/01/2014 20:00,28.13
06/01/2014 20:00,06/01/2014 21:00,23.119
06/01/2014 21:00,06/01/2014 22:00,23.054
06/01/2014 22:00,06/01/2014 23:00,22.95
06/01/2014 23:00,07/01/2014 00:00,24.149
