Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,22.179
01/01/2014 01:00,01/01/2014 02:00,14.717
01/01/2014 02:00,01/01/2014 03:00,14.737
01/01/2014 03:00,01/01/2014 04:00,14.747
01/01/2014 04:00,01/01/2014 05:00,14.896
01/01/2014 05:00,01/01/2014 06:00,22.315
01/01/2014 06:00,01/01/2014 07:00,38.269
01/01/2014 07:00,01/01/2014 08:00,45.733
01/01/2014 08:00,01/01/2014 09:00,44.672
01/01/2014 09:00,01/01/2014 10:00,33.994
01/01/2014 10:00,01/01/2014 11:00,41.5
01/01/2014 11:00,01/01/2014 12:00,42.255
01/01/2014 12:00,01/01/2014 13:00,41.542
01/01/2014 13:00,01/01/2014 14:00,34.015
01/01/2014 14:00,01/01/2014 15:00,34.018
01/01/2014 15:00,01/01/2014 16:00,34.02
01/01/2014 16:00,01/01/2014 17:00,43.564
01/01/2014 17:00,01/01/2014 18:00,45.683
01/01/2014 18:00,01/01/2014 19:00,45.69
01/01/2014 19:00,01/01/2014 20:00,38.327
01/01/2014 20:00,01/01/2014 21:00,38.31
01/01/2014 21:00,01/01/2014 22:00,38.25
01/01/2014 22:00,01/01/2014 23:00,38.138
01/01/2014 23:00,02/01/2014 00:00,38.93
02/01/2014 00:00,02/01/2014 01:00,22.189
02/01/2014 01:00,02/01/2014 02:00,14.698
02/01/2014 02:00,02/01/2014 03:00,14.71
02/01/2014 03:00,02/01/2014 04:00,14.726
02/01/2014 04:00,02/01/2014 05:00,14.891
02/01/2014 05:00,02/01/2014 06:00,22.318
02/01/2014 06:00,02/01/2014 07:00,38.282
02/01/2014 07:00,02/01/2014 08:00,45.738
02/01/2014 08:00,02/01/2014 09:00,44.691
02/01/2014 09:00,02/01/2014 10:00,34.04
02/01/2014 10:00,02/01/2014 11:00,41.539
02/01/2014 11:00,02/01/2014 12:00,42.261
02/01/2014 12:00,02/01/2014 13:00,41.562
02/01/2014 13:00,02/01/2014 14:00,34.054
02/01/2014 14:00,02/01/2014 15:00,34.058
02/01/2014 15:00,02/01/2014 16:00,34.043
02/01/2014 16:00,02/01/2014 17:00,43.585
02/01/2014 17:00,02/01/2014 18:00,45.698
02/01/2014 18:00,02/01/2014 19:00,45.7
02/01/2014 19:00,02/01/2014 20:00,38.335
02/01/2014 20:00,02/01/2014 21:00,38.306
02/01/2014 21:00,02/01/2014 22:00,38.235
02/01/2014 22:00,02/01/2014 23:00,38.118
02/01/2014 23:00,03/01/2014 00:00,38.912
03/01/2014 00:00,03/01/2014 01:00,22.154
03/01/2014 01:00,03/01/2014 02:00,14.666
03/01/2014 02:00,03/01/2014 03:00,14.694
03/01/2014 03:00,03/01/2014 04:00,14.711
03/01/2014 04:00,03/01/2014 05:00,15.372
03/01/2014 05:00,03/01/2014 06:00,22.794
03/01/2014 06:00,03/01/2014 07:00,38.46
03/01/2014 07:00,03/01/2014 08:00,45.703
03/01/2014 08:00,03/01/2014 09:00,44.651
03/01/2014 09:00,03/01/2014 10:00,33.992
03/01/2014 10:00,03/01/2014 11:00,41.495
03/01/2014 11:00,03/01/2014 12:00,42.253
03/01/2014 12:00,03/01/2014 13:00,41.545
03/01/2014 13:00,03/01/2014 14:00,34.022
03/01/2014 14:00,03/01/2014 15:00,34.021
03/01/2014 15:00,03/01/2014 16:00,34.002
03/01/2014 16:00,03/01/2014 17:00,43.538
03/01/2014 17:00,03/01/2014 18:00,45.656
03/01/2014 18:00,03/01/2014 19:00,45.663
03/01/2014 19:00,03/01/2014 20:00,38.159
03/01/2014 20:00,03/01/2014 21:00,38.149
03/01/2014 21:00,03/01/2014 22:00,38.107
03/01/2014 22:00,03/01/2014 23:00,38.098
03/01/2014 23:00,04/01/2014 00:00,38.905
04/01/2014 00:00,04/01/2014 01:00,22.142
04/01/2014 01:00,04/01/2014 02:00,14.651
04/01/2014 02:00,04/01/2014 03:00,14.675
04/01/2014 03:00,04/01/2014 04:00,14.688
04/01/2014 04:00,04/01/2014 05:00,14.839
04/01/2014 05:00,04/01/2014 06:00,22.266
04/01/2014 06:00,04/01/2014 07:00,38.218
04/01/2014 07:00,04/01/2014 08:00,45.683
04/01/2014 08:00,04/01/2014 09:00,44.629
04/01/2014 09:00,04/01/2014 10:00,33.972
04/01/2014 10:00,04/01/2014 11:00,41.468
