Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,123.8
01/01/2014 01:00,01/01/2014 02:00,125.29
01/01/2014 02:00,01/01/2014 03:00,130.3
01/01/2014 03:00,01/01/2014 04:00,125.31
01/01/2014 04:00,01/01/2014 05:00,127.14
01/01/2014 05:00,01/01/2014 06:00,124.68
01/01/2014 06:00,01/01/2014 07:00,124.41
01/01/2014 07:00,01/01/2014 08:00,133.32
01/01/2014 08:00,01/01/2014 09:00,122.96
01/01/2014 09:00,01/01/2014 10:00,106.64
01/01/2014 10:00,01/01/2014 11:00,106.29
01/01/2014 11:00,01/01/2014 12:00,104.82
01/01/2014 12:00,01/01/2014 13:00,104.87
01/01/2014 13:00,01/01/2014 14:00,103.89
01/01/2014 14:00,01/01/2014 15:00,104.96
01/01/2014 15:00,01/01/2014 16:00,103.91
01/01/2014 16:00,01/01/2014 17:00,116.8
01/01/2014 17:00,01/01/2014 18:00,121.68
01/01/2014 18:00,01/01/2014 19:00,126.45
01/01/2014 19:00,01/01/2014 20:00,124.8
01/01/2014 20:00,01/01/2014 21:00,124.47
01/01/2014 21:00,01/01/2014 22:00,131.88
01/01/2014 22:00,01/01/2014 23:00,126.03
01/01/2014 23:00,02/01/2014 00:00,126.6
02/01/2014 00:00,02/01/2014 01:00,126.7
02/01/2014 01:00,02/01/2014 02:00,130.34
02/01/2014 02:00,02/01/2014 03:00,127.25
02/01/2014 03:00,02/01/2014 04:00,134.42
02/01/2014 04:00,02/01/2014 05:00,126.89
02/01/2014 05:00,02/01/2014 06:00,131.23
02/01/2014 06:00,02/01/2014 07:00,191.85
02/01/2014 07:00,02/01/2014 08:00,369.62
02/01/2014 08:00,02/01/2014 09:00,458.4
02/01/2014 09:00,02/01/2014 10:00,442.81
02/01/2014 10:00,02/01/2014 11:00,448.59
02/01/2014 11:00,02/01/2014 12:00,449.6
02/01/2014 12:00,02/01/2014 13:00,448.58
02/01/2014 13:00,02/01/2014 14:00,442.44
02/01/2014 14:00,02/01/2014 15:00,442.37
02/01/2014 15:00,02/01/2014 16:00,434.5
02/01/2014 16:00,02/01/2014 17:00,438.51
02/01/2014 17:00,02/01/2014 18:00,367.85
02/01/2014 18:00,02/01/2014 19:00,367.89
02/01/2014 19:00,02/01/2014 20:00,368.35
02/01/2014 20:00,02/01/2014 21:00,368.42
02/01/2014 21:00,02/01/2014 22:00,117.66
02/01/2014 22:00,02/01/2014 23:00,118.4
02/01/2014 23:00,03/01/2014 00:00,119.79
03/01/2014 00:00,03/01/2014 01:00,119.08
03/01/2014 01:00,03/01/2014 02:00,118.75
03/01/2014 02:00,03/01/2014 03:00,120.98
03/01/2014 03:00,03/01/2014 04:00,121.43
03/01/2014 04:00,03/01/2014 05:00,124.16
03/01/2014 05:00,03/01/2014 06:00,123.74
03/01/2014 06:00,03/01/2014 07:00,192.95
03/01/2014 07:00,03/01/2014 08:00,369.77
03/01/2014 08:00,03/01/2014 09:00,457.92
03/01/2014 09:00,03/01/2014 10:00,442.87
03/01/2014 10:00,03/01/2014 11:00,448.74
03/01/2014 11:00,03/01/2014 12:00,449.65
03/01/2014 12:00,03/01/2014 13:00,448.59
03/01/2014 13:00,03/01/2014 14:00,442.6
03/01/2014 14:00,03/01/2014 15:00,442.56
03/01/2014 15:00,03/01/2014 16:00,434.73
03/01/2014 16:00,03/01/2014 17:00,438.79
03/01/2014 17:00,03/01/2014 18:00,368.12
03/01/2014 18:00,03/01/2014 19:00,368.18
03/01/2014 19:00,03/01/2014 20:00,368.21
03/01/2014 20:00,03/01/2014 21:00,368.25
03/01/2014 21:00,03/01/2014 22:00,118.11
03/01/2014 22:00,03/01/2014 23:00,118.7
03/01/2014 23:00,04/01/2014 00:00,120.12
04/01/2014 00:00,04/01/2014 01:00,119.07
04/01/2014 01:00,04/01/2014 02:00,122.01
04/01/2014 02:00,04/01/2014 03:00,121.72
04/01/2014 03:00,04/01/2014 04:00,122.28
04/01/2014 04:00,04/01/2014 05:00,122.17
04/01/2014 05:00,04/01/2014 06:00,126.09
04/01/2014 06:00,04/01/2014 07:00,125.59
04/01/2014 07:00,04/01/2014 08:00,125.31
04/01/2014 08:00,04/01/2014 09:00,123.13
04/01/2014 09:00,04/01/2014 10:00,104.69
04/01/2014 10:00,04/01/2014 11:00,104.11
04/01/2014 11:00,04/01/2014 12:00,105.58
04/01/2014 12:00,04/01/2014 13:00,104.03
04/01/2014 13:00,04/01/2014 14:00,104.65
04/01/2014 14:00,04/01/2014 15:00,104.12
04/01/2014 15:00,04/01/2014 16:00,104.4
04/01/2014 16:00,04/01/2014 17:00,112.84
04/01/2014 17:00,04/01/2014 18:00,122.36
04/01/2014 18:00,04/01/2014 19:00,121.83
04/01/2014 19:00,04/01/2014 20:00,126.55
04/01/2014 20:00,04/01/2014 21:00,130.26
04/01/2014 21:00,04/01/2014 22:00,132
04/01/2014 22:00,04/01/2014 23:00,134
04/01/2014 23:00,05/01/2014 00:00,135.66
05/01/2014 00:00,05/01/2014 01:00,135.3
05/01/2014 01:00,05/01/2014 02:00,149.11
05/01/2014 02:00,05/01/2014 03:00,151.52
05/01/2014 03:00,05/01/2014 04:00,137.88
05/01/2014 04:00,05/01/2014 05:00,146.45
05/01/2014 05:00,05/01/2014 06:00,148.66
05/01/2014 06:00,05/01/2014 07:00,154.13
05/01/2014 07:00,05/01/2014 08:00,135.59
05/01/2014 08:00,05/01/2014 09:00,133.46
05/01/2014 09:00,05/01/2014 10:00,116.1
05/01/2014 10:00,05/01/2014 11:00,116.13
