Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,36.791
01/01/2014 01:00,01/01/2014 02:00,36.834
01/01/2014 02:00,01/01/2014 03:00,32.914
01/01/2014 03:00,01/01/2014 04:00,33.624
01/01/2014 04:00,01/01/2014 05:00,35.589
01/01/2014 05:00,01/01/2014 06:00,39.815
01/01/2014 06:00,01/01/2014 07:00,58.619
01/01/2014 07:00,01/01/2014 08:00,75.24
01/01/2014 08:00,01/01/2014 09:00,98.475
01/01/2014 09:00,01/01/2014 10:00,76.248
01/01/2014 10:00,01/01/2014 11:00,51.656
01/01/2014 11:00,01/01/2014 12:00,50.146
01/01/2014 12:00,01/01/2014 13:00,50.592
01/01/2014 13:00,01/01/2014 14:00,51.3
01/01/2014 14:00,01/01/2014 15:00,51.223
01/01/2014 15:00,01/01/2014 16:00,50.433
01/01/2014 16:00,01/01/2014 17:00,59.125
01/01/2014 17:00,01/01/2014 18:00,70.172
01/01/2014 18:00,01/01/2014 19:00,84.257
01/01/2014 19:00,01/01/2014 20:00,84.898
01/01/2014 20:00,01/01/2014 21:00,91.043
01/01/2014 21:00,01/01/2014 22:00,88.787
01/01/2014 22:00,01/01/2014 23:00,66.053
01/01/2014 23:00,02/01/2014 00:00,42.889
02/01/2014 00:00,02/01/2014 01:00,35.529
02/01/2014 01:00,02/01/2014 02:00,34.337
02/01/2014 02:00,02/01/2014 03:00,34.067
02/01/2014 03:00,02/01/2014 04:00,34.399
02/01/2014 04:00,02/01/2014 05:00,35.888
02/01/2014 05:00,02/01/2014 06:00,43.13
02/01/2014 06:00,02/01/2014 07:00,71.771
02/01/2014 07:00,02/01/2014 08:00,91.52
02/01/2014 08:00,02/01/2014 09:00,76.414
02/01/2014 09:00,02/01/2014 10:00,65.877
02/01/2014 10:00,02/01/2014 11:00,48.181
02/01/2014 11:00,02/01/2014 12:00,48.932
02/01/2014 12:00,02/01/2014 13:00,49.186
02/01/2014 13:00,02/01/2014 14:00,48.839
02/01/2014 14:00,02/01/2014 15:00,48.747
02/01/2014 15:00,02/01/2014 16:00,48.336
02/01/2014 16:00,02/01/2014 17:00,56.505
02/01/2014 17:00,02/01/2014 18:00,72.492
02/01/2014 18:00,02/01/2014 19:00,79.616
02/01/2014 19:00,02/01/2014 20:00,82.356
02/01/2014 20:00,02/01/2014 21:00,91.242
02/01/2014 21:00,02/01/2014 22:00,85.913
02/01/2014 22:00,02/01/2014 23:00,60.867
02/01/2014 23:00,03/01/2014 00:00,40.772
03/01/2014 00:00,03/01/2014 01:00,36.393
03/01/2014 01:00,03/01/2014 02:00,36.117
03/01/2014 02:00,03/01/2014 03:00,35.233
03/01/2014 03:00,03/01/2014 04:00,35.756
03/01/2014 04:00,03/01/2014 05:00,38.024
03/01/2014 05:00,03/01/2014 06:00,45.507
03/01/2014 06:00,03/01/2014 07:00,72.357
03/01/2014 07:00,03/01/2014 08:00,92.055
03/01/2014 08:00,03/01/2014 09:00,77.879
03/01/2014 09:00,03/01/2014 10:00,68.112
03/01/2014 10:00,03/01/2014 11:00,52.243
03/01/2014 11:00,03/01/2014 12:00,52.343
03/01/2014 12:00,03/01/2014 13:00,52.196
03/01/2014 13:00,03/01/2014 14:00,51.984
03/01/2014 14:00,03/01/2014 15:00,50.959
03/01/2014 15:00,03/01/2014 16:00,50.49
03/01/2014 16:00,03/01/2014 17:00,59.231
03/01/2014 17:00,03/01/2014 18:00,73.709
03/01/2014 18:00,03/01/2014 19:00,79.794
03/01/2014 19:00,03/01/2014 20:00,82.424
03/01/2014 20:00,03/01/2014 21:00,91.334
03/01/2014 21:00,03/01/2014 22:00,85.896
03/01/2014 22:00,03/01/2014 23:00,61.252
03/01/2014 23:00,04/01/2014 00:00,43.525
04/01/2014 00:00,04/01/2014 01:00,41.619
04/01/2014 01:00,04/01/2014 02:00,42.557
04/01/2014 02:00,04/01/2014 03:00,39.003
04/01/2014 03:00,04/01/2014 04:00,39.803
04/01/2014 04:00,04/01/2014 05:00,41.977
04/01/2014 05:00,04/01/2014 06:00,46.471
04/01/2014 06:00,04/01/2014 07:00,65.07
04/01/2014 07:00,04/01/2014 08:00,78.743
04/01/2014 08:00,04/01/2014 09:00,98.969
04/01/2014 09:00,04/01/2014 10:00,78.624
04/01/2014 10:00,04/01/2014 11:00,56.594
04/01/2014 11:00,04/01/2014 12:00,53.242
04/01/2014 12:00,04/01/2014 13:00,52.979
04/01/2014 13:00,04/01/2014 14:00,52.798
04/01/2014 14:00,04/01/2014 15:00,52.444
04/01/2014 15:00,04/01/2014 16:00,51.79
04/01/2014 16:00,04/01/2014 17:00,60
04/01/2014 17:00,04/01/2014 18:00,72.082
04/01/2014 18:00,04/01/2014 19:00,85.565
04/01/2014 19:00,04/01/2014 20:00,85.397
04/01/2014 20:00,04/01/2014 21:00,91.213
04/01/2014 21:00,04/01/2014 22:00,89.165
04/01/2014 22:00,04/01/2014 23:00,67.263
04/01/2014 23:00,05/01/2014 00:00,46.758
05/01/2014 00:00,05/01/2014 01:00,42.568
05/01/2014 01:00,05/01/2014 02:00,43.959
05/01/2014 02:00,05/01/2014 03:00,40.806
05/01/2014 03:00,05/01/2014 04:00,41.691
05/01/2014 04:00,05/01/2014 05:00,44.081
05/01/2014 05:00,05/01/2014 06:00,48.936
05/01/2014 06:00,05/01/2014 07:00,67.522
05/01/2014 07:00,05/01/2014 08:00,81.009
05/01/2014 08:00,05/01/2014 09:00,100.3
05/01/2014 09:00,05/01/2014 10:00,80.702
05/01/2014 10:00,05/01/2014 11:00,59.442
05/01/2014 11:00,05/01/2014 12:00,56.178
05/01/2014 12:00,05/01/2014 13:00,55.855
05/01/2014 13:00,05/01/2014 14:00,55.815
05/01/2014 14:00,05/01/2014 15:00,56.087
05/01/2014 15:00,05/01/2014 16:00,56.087
05/01/2014 16:00,05/01/2014 17:00,64.61
05/01/2014 17:00,05/01/2014 18:00,75.453
05/01/2014 18:00,05/01/2014 19:00,87.071
05/01/2014 19:00,05/01/2014 20:00,86.102
05/01/2014 20:00,05/01/2014 21:00,91.376
05/01/2014 21:00,05/01/2014 22:00,89.025
05/01/2014 22:00,05/01/2014 23:00,67.489
05/01/2014 23:00,06/01/2014 00:00,48.325
06/01/2014 00:00,06/01/2014 01:00,42.7
06/01/2014 01:00,06/01/2014 02:00,42.441
06/01/2014 02:00,06/01/2014 03:00,41.598
06/01/2014 03:00,06/01/2014 04:00,42.226
06/01/2014 04:00,06/01/2014 05:00,44.197
06/01/2014 05:00,06/01/2014 06:00,51.5
06/01/2014 06:00,06/01/2014 07:00,76.22
06/01/2014 07:00,06/01/2014 08:00,92.477
06/01/2014 08:00,06/01/2014 09:00,82.585
06/01/2014 09:00,06/01/2014 10:00,72.814
06/01/2014 10:00,06/01/2014 11:00,57.817
06/01/2014 11:00,06/01/2014 12:00,58.251
06/01/2014 12:00,06/01/2014 13:00,58.299
