Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,4.9542
01/01/2014 01:00,01/01/2014 02:00,5.2066
01/01/2014 02:00,01/01/2014 03:00,5.1385
01/01/2014 03:00,01/01/2014 04:00,5.201
01/01/2014 04:00,01/01/2014 05:00,5.137
01/01/2014 05:00,01/01/2014 06:00,5.1543
01/01/2014 06:00,01/01/2014 07:00,5.2947
01/01/2014 07:00,01/01/2014 08:00,5.2082
01/01/2014 08:00,01/01/2014 09:00,4.8997
01/01/2014 09:00,01/01/2014 10:00,2.9676
01/01/2014 10:00,01/01/2014 11:00,2.999
01/01/2014 11:00,01/01/2014 12:00,2.8436
01/01/2014 12:00,01/01/2014 13:00,2.6651
01/01/2014 13:00,01/01/2014 14:00,2.8172
01/01/2014 14:00,01/01/2014 15:00,2.9036
01/01/2014 15:00,01/01/2014 16:00,2.364
01/01/2014 16:00,01/01/2014 17:00,3.943
01/01/2014 17:00,01/01/2014 18:00,5.2066
01/01/2014 18:00,01/01/2014 19:00,5.1385
01/01/2014 19:00,01/01/2014 20:00,5.4853
01/01/2014 20:00,01/01/2014 21:00,5.1642
01/01/2014 21:00,01/01/2014 22:00,5.39
01/01/2014 22:00,01/01/2014 23:00,5.1018
01/01/2014 23:00,02/01/2014 00:00,5.269
02/01/2014 00:00,02/01/2014 01:00,5.2905
02/01/2014 01:00,02/01/2014 02:00,5.5892
02/01/2014 02:00,02/01/2014 03:00,5.8191
02/01/2014 03:00,02/01/2014 04:00,5.7085
02/01/2014 04:00,02/01/2014 05:00,5.7566
02/01/2014 05:00,02/01/2014 06:00,5.8917
02/01/2014 06:00,02/01/2014 07:00,6.9806
02/01/2014 07:00,02/01/2014 08:00,8.0806
02/01/2014 08:00,02/01/2014 09:00,13.747
02/01/2014 09:00,02/01/2014 10:00,11.828
02/01/2014 10:00,02/01/2014 11:00,11.828
02/01/2014 11:00,02/01/2014 12:00,11.828
02/01/2014 12:00,02/01/2014 13:00,11.278
02/01/2014 13:00,02/01/2014 14:00,11.828
02/01/2014 14:00,02/01/2014 15:00,11.828
02/01/2014 15:00,02/01/2014 16:00,11.828
02/01/2014 16:00,02/01/2014 17:00,12.979
02/01/2014 17:00,02/01/2014 18:00,9.7306
02/01/2014 18:00,02/01/2014 19:00,8.0806
02/01/2014 19:00,02/01/2014 20:00,8.0806
02/01/2014 20:00,02/01/2014 21:00,7.5306
02/01/2014 21:00,02/01/2014 22:00,7.5306
02/01/2014 22:00,02/01/2014 23:00,5.053
02/01/2014 23:00,03/01/2014 00:00,4.778
03/01/2014 00:00,03/01/2014 01:00,4.778
03/01/2014 01:00,03/01/2014 02:00,4.778
03/01/2014 02:00,03/01/2014 03:00,4.778
03/01/2014 03:00,03/01/2014 04:00,4.778
03/01/2014 04:00,03/01/2014 05:00,4.778
03/01/2014 05:00,03/01/2014 06:00,5.053
03/01/2014 06:00,03/01/2014 07:00,6.9806
03/01/2014 07:00,03/01/2014 08:00,8.0806
03/01/2014 08:00,03/01/2014 09:00,13.747
03/01/2014 09:00,03/01/2014 10:00,11.828
03/01/2014 10:00,03/01/2014 11:00,11.828
03/01/2014 11:00,03/01/2014 12:00,11.828
03/01/2014 12:00,03/01/2014 13:00,11.278
03/01/2014 13:00,03/01/2014 14:00,11.828
03/01/2014 14:00,03/01/2014 15:00,11.828
03/01/2014 15:00,03/01/2014 16:00,11.828
03/01/2014 16:00,03/01/2014 17:00,12.979
03/01/2014 17:00,03/01/2014 18:00,9.7306
03/01/2014 18:00,03/01/2014 19:00,8.0806
03/01/2014 19:00,03/01/2014 20:00,8.0806
03/01/2014 20:00,03/01/2014 21:00,7.5306
03/01/2014 21:00,03/01/2014 22:00,7.5306
03/01/2014 22:00,03/01/2014 23:00,5.053
03/01/2014 23:00,04/01/2014 00:00,4.778
04/01/2014 00:00,04/01/2014 01:00,4.228
04/01/2014 01:00,04/01/2014 02:00,4.228
04/01/2014 02:00,04/01/2014 03:00,4.228
04/01/2014 03:00,04/01/2014 04:00,4.228
04/01/2014 04:00,04/01/2014 05:00,4.228
04/01/2014 05:00,04/01/2014 06:00,4.228
04/01/2014 06:00,04/01/2014 07:00,6.9806
04/01/2014 07:00,04/01/2014 08:00,6.9806
