Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,12.024
01/01/2014 01:00,01/01/2014 02:00,12.074
01/01/2014 02:00,01/01/2014 03:00,12.098
01/01/2014 03:00,01/01/2014 04:00,12.159
01/01/2014 04:00,01/01/2014 05:00,12.178
01/01/2014 05:00,01/01/2014 06:00,12.174
01/01/2014 06:00,01/01/2014 07:00,12.18
01/01/2014 07:00,01/01/2014 08:00,12.206
01/01/2014 08:00,01/01/2014 09:00,24.998
01/01/2014 09:00,01/01/2014 10:00,17.913
01/01/2014 10:00,01/01/2014 11:00,32.738
01/01/2014 11:00,01/01/2014 12:00,32.637
01/01/2014 12:00,01/01/2014 13:00,42.511
01/01/2014 13:00,01/01/2014 14:00,42.531
01/01/2014 14:00,01/01/2014 15:00,42.52
01/01/2014 15:00,01/01/2014 16:00,42.438
01/01/2014 16:00,01/01/2014 17:00,46.638
01/01/2014 17:00,01/01/2014 18:00,40.468
01/01/2014 18:00,01/01/2014 19:00,30.427
01/01/2014 19:00,01/01/2014 20:00,11.971
01/01/2014 20:00,01/01/2014 21:00,11.971
01/01/2014 21:00,01/01/2014 22:00,11.971
01/01/2014 22:00,01/01/2014 23:00,11.977
01/01/2014 23:00,02/01/2014 00:00,12.011
02/01/2014 00:00,02/01/2014 01:00,12.637
02/01/2014 01:00,02/01/2014 02:00,12.689
02/01/2014 02:00,02/01/2014 03:00,12.788
02/01/2014 03:00,02/01/2014 04:00,12.833
02/01/2014 04:00,02/01/2014 05:00,12.793
02/01/2014 05:00,02/01/2014 06:00,12.776
02/01/2014 06:00,02/01/2014 07:00,23.223
02/01/2014 07:00,02/01/2014 08:00,31.121
02/01/2014 08:00,02/01/2014 09:00,44.626
02/01/2014 09:00,02/01/2014 10:00,55.08
02/01/2014 10:00,02/01/2014 11:00,54.868
02/01/2014 11:00,02/01/2014 12:00,54.946
02/01/2014 12:00,02/01/2014 13:00,54.949
02/01/2014 13:00,02/01/2014 14:00,54.731
02/01/2014 14:00,02/01/2014 15:00,54.667
02/01/2014 15:00,02/01/2014 16:00,54.737
02/01/2014 16:00,02/01/2014 17:00,58.986
02/01/2014 17:00,02/01/2014 18:00,63.22
02/01/2014 18:00,02/01/2014 19:00,50.607
02/01/2014 19:00,02/01/2014 20:00,50.677
02/01/2014 20:00,02/01/2014 21:00,45.721
02/01/2014 21:00,02/01/2014 22:00,20.694
02/01/2014 22:00,02/01/2014 23:00,12.57
02/01/2014 23:00,03/01/2014 00:00,12.57
03/01/2014 00:00,03/01/2014 01:00,12.57
03/01/2014 01:00,03/01/2014 02:00,12.584
03/01/2014 02:00,03/01/2014 03:00,12.641
03/01/2014 03:00,03/01/2014 04:00,12.686
03/01/2014 04:00,03/01/2014 05:00,12.736
03/01/2014 05:00,03/01/2014 06:00,12.812
03/01/2014 06:00,03/01/2014 07:00,23.271
03/01/2014 07:00,03/01/2014 08:00,31.21
03/01/2014 08:00,03/01/2014 09:00,44.707
03/01/2014 09:00,03/01/2014 10:00,55.325
03/01/2014 10:00,03/01/2014 11:00,55.213
03/01/2014 11:00,03/01/2014 12:00,55.109
03/01/2014 12:00,03/01/2014 13:00,55.054
03/01/2014 13:00,03/01/2014 14:00,54.991
03/01/2014 14:00,03/01/2014 15:00,54.777
03/01/2014 15:00,03/01/2014 16:00,54.738
03/01/2014 16:00,03/01/2014 17:00,59.087
03/01/2014 17:00,03/01/2014 18:00,63.354
03/01/2014 18:00,03/01/2014 19:00,50.752
03/01/2014 19:00,03/01/2014 20:00,50.817
03/01/2014 20:00,03/01/2014 21:00,45.833
03/01/2014 21:00,03/01/2014 22:00,20.694
03/01/2014 22:00,03/01/2014 23:00,12.57
03/01/2014 23:00,04/01/2014 00:00,12.57
04/01/2014 00:00,04/01/2014 01:00,12.046
04/01/2014 01:00,04/01/2014 02:00,12.183
04/01/2014 02:00,04/01/2014 03:00,12.256
04/01/2014 03:00,04/01/2014 04:00,12.399
04/01/2014 04:00,04/01/2014 05:00,12.463
04/01/2014 05:00,04/01/2014 06:00,12.533
04/01/2014 06:00,04/01/2014 07:00,22.672
04/01/2014 07:00,04/01/2014 08:00,26.352
04/01/2014 08:00,04/01/2014 09:00,34.854
04/01/2014 09:00,04/01/2014 10:00,42.737
04/01/2014 10:00,04/01/2014 11:00,55.093
04/01/2014 11:00,04/01/2014 12:00,54.683
04/01/2014 12:00,04/01/2014 13:00,54.431
04/01/2014 13:00,04/01/2014 14:00,54.333
04/01/2014 14:00,04/01/2014 15:00,54.382
04/01/2014 15:00,04/01/2014 16:00,54.606
04/01/2014 16:00,04/01/2014 17:00,59.017
04/01/2014 17:00,04/01/2014 18:00,63.311
04/01/2014 18:00,04/01/2014 19:00,45.781
04/01/2014 19:00,04/01/2014 20:00,35.818
04/01/2014 20:00,04/01/2014 21:00,35.871
04/01/2014 21:00,04/01/2014 22:00,25.903
04/01/2014 22:00,04/01/2014 23:00,11.971
04/01/2014 23:00,05/01/2014 00:00,11.971
05/01/2014 00:00,05/01/2014 01:00,12
05/01/2014 01:00,05/01/2014 02:00,12.21
05/01/2014 02:00,05/01/2014 03:00,12.37
05/01/2014 03:00,05/01/2014 04:00,12.468
05/01/2014 04:00,05/01/2014 05:00,12.572
05/01/2014 05:00,05/01/2014 06:00,12.626
05/01/2014 06:00,05/01/2014 07:00,12.712
05/01/2014 07:00,05/01/2014 08:00,12.742
05/01/2014 08:00,05/01/2014 09:00,25
05/01/2014 09:00,05/01/2014 10:00,18.08
05/01/2014 10:00,05/01/2014 11:00,32.825
05/01/2014 11:00,05/01/2014 12:00,32.429
05/01/2014 12:00,05/01/2014 13:00,42.285
05/01/2014 13:00,05/01/2014 14:00,42.334
05/01/2014 14:00,05/01/2014 15:00,42.473
05/01/2014 15:00,05/01/2014 16:00,42.613
05/01/2014 16:00,05/01/2014 17:00,46.815
05/01/2014 17:00,05/01/2014 18:00,40.499
05/01/2014 18:00,05/01/2014 19:00,30.508
05/01/2014 19:00,05/01/2014 20:00,11.971
05/01/2014 20:00,05/01/2014 21:00,11.971
05/01/2014 21:00,05/01/2014 22:00,12.1
05/01/2014 22:00,05/01/2014 23:00,12.327
05/01/2014 23:00,06/01/2014 00:00,12.403
06/01/2014 00:00,06/01/2014 01:00,13.138
06/01/2014 01:00,06/01/2014 02:00,13.155
06/01/2014 02:00,06/01/2014 03:00,13.27
06/01/2014 03:00,06/01/2014 04:00,13.248
06/01/2014 04:00,06/01/2014 05:00,13.349
06/01/2014 05:00,06/01/2014 06:00,13.312
06/01/2014 06:00,06/01/2014 07:00,23.271
06/01/2014 07:00,06/01/2014 08:00,31.395
06/01/2014 08:00,06/01/2014 09:00,44.991
06/01/2014 09:00,06/01/2014 10:00,55.596
06/01/2014 10:00,06/01/2014 11:00,55.509
06/01/2014 11:00,06/01/2014 12:00,55.428
06/01/2014 12:00,06/01/2014 13:00,55.386
06/01/2014 13:00,06/01/2014 14:00,55.353
06/01/2014 14:00,06/01/2014 15:00,55.333
06/01/2014 15:00,06/01/2014 16:00,55.311
06/01/2014 16:00,06/01/2014 17:00,59.44
06/01/2014 17:00,06/01/2014 18:00,63.591
06/01/2014 18:00,06/01/2014 19:00,50.953
06/01/2014 19:00,06/01/2014 20:00,50.988
06/01/2014 20:00,06/01/2014 21:00,46.034
06/01/2014 21:00,06/01/2014 22:00,20.694
06/01/2014 22:00,06/01/2014 23:00,12.57
06/01/2014 23:00,07/01/2014 00:00,12.635
07/01/2014 00:00,07/01/2014 01:00,12.738
07/01/2014 01:00,07/01/2014 02:00,12.859
07/01/2014 02:00,07/01/2014 03:00,12.945
07/01/2014 03:00,07/01/2014 04:00,13.057
07/01/2014 04:00,07/01/2014 05:00,13.075
07/01/2014 05:00,07/01/2014 06:00,13.176
07/01/2014 06:00,07/01/2014 07:00,23.271
07/01/2014 07:00,07/01/2014 08:00,31.358
07/01/2014 08:00,07/01/2014 09:00,44.848
07/01/2014 09:00,07/01/2014 10:00,55.486
07/01/2014 10:00,07/01/2014 11:00,55.4
07/01/2014 11:00,07/01/2014 12:00,55.296
07/01/2014 12:00,07/01/2014 13:00,55.226
07/01/2014 13:00,07/01/2014 14:00,55.18
07/01/2014 14:00,07/01/2014 15:00,55.176
07/01/2014 15:00,07/01/2014 16:00,55.191
07/01/2014 16:00,07/01/2014 17:00,59.351
07/01/2014 17:00,07/01/2014 18:00,63.505
07/01/2014 18:00,07/01/2014 19:00,50.869
07/01/2014 19:00,07/01/2014 20:00,50.917
07/01/2014 20:00,07/01/2014 21:00,45.912
07/01/2014 21:00,07/01/2014 22:00,20.694
07/01/2014 22:00,07/01/2014 23:00,12.57
07/01/2014 23:00,08/01/2014 00:00,12.579
08/01/2014 00:00,08/01/2014 01:00,12.699
08/01/2014 01:00,08/01/2014 02:00,12.844
08/01/2014 02:00,08/01/2014 03:00,12.941
08/01/2014 03:00,08/01/2014 04:00,13.042
08/01/2014 04:00,08/01/2014 05:00,13.074
08/01/2014 05:00,08/01/2014 06:00,13.148
08/01/2014 06:00,08/01/2014 07:00,23.271
08/01/2014 07:00,08/01/2014 08:00,31.391
08/01/2014 08:00,08/01/2014 09:00,44.909
08/01/2014 09:00,08/01/2014 10:00,55.518
08/01/2014 10:00,08/01/2014 11:00,55.427
08/01/2014 11:00,08/01/2014 12:00,55.343
08/01/2014 12:00,08/01/2014 13:00,55.298
08/01/2014 13:00,08/01/2014 14:00,55.264
08/01/2014 14:00,08/01/2014 15:00,55.244
08/01/2014 15:00,08/01/2014 16:00,55.225
08/01/2014 16:00,08/01/2014 17:00,59.367
08/01/2014 17:00,08/01/2014 18:00,63.518
08/01/2014 18:00,08/01/2014 19:00,50.87
08/01/2014 19:00,08/01/2014 20:00,50.861
08/01/2014 20:00,08/01/2014 21:00,45.752
08/01/2014 21:00,08/01/2014 22:00,20.694
08/01/2014 22:00,08/01/2014 23:00,12.57
08/01/2014 23:00,09/01/2014 00:00,12.57
09/01/2014 00:00,09/01/2014 01:00,12.57
09/01/2014 01:00,09/01/2014 02:00,12.576
09/01/2014 02:00,09/01/2014 03:00,12.616
09/01/2014 03:00,09/01/2014 04:00,12.643
09/01/2014 04:00,09/01/2014 05:00,12.687
09/01/2014 05:00,09/01/2014 06:00,12.673
09/01/2014 06:00,09/01/2014 07:00,23.2
09/01/2014 07:00,09/01/2014 08:00,30.989
09/01/2014 08:00,09/01/2014 09:00,44.523
09/01/2014 09:00,09/01/2014 10:00,55.191
09/01/2014 10:00,09/01/2014 11:00,55.091
09/01/2014 11:00,09/01/2014 12:00,54.994
09/01/2014 12:00,09/01/2014 13:00,54.914
09/01/2014 13:00,09/01/2014 14:00,54.87
09/01/2014 14:00,09/01/2014 15:00,54.915
09/01/2014 15:00,09/01/2014 16:00,54.936
09/01/2014 16:00,09/01/2014 17:00,57.699
09/01/2014 17:00,09/01/2014 18:00,63.223
09/01/2014 18:00,09/01/2014 19:00,50.574
09/01/2014 19:00,09/01/2014 20:00,50.578
09/01/2014 20:00,09/01/2014 21:00,45.527
09/01/2014 21:00,09/01/2014 22:00,20.694
09/01/2014 22:00,09/01/2014 23:00,12.57
09/01/2014 23:00,10/01/2014 00:00,12.57
10/01/2014 00:00,10/01/2014 01:00,12.57
10/01/2014 01:00,10/01/2014 02:00,12.57
10/01/2014 02:00,10/01/2014 03:00,12.57
10/01/2014 03:00,10/01/2014 04:00,12.57
10/01/2014 04:00,10/01/2014 05:00,12.57
10/01/2014 05:00,10/01/2014 06:00,12.57
10/01/2014 06:00,10/01/2014 07:00,23.016
10/01/2014 07:00,10/01/2014 08:00,30.806
10/01/2014 08:00,10/01/2014 09:00,44.355
10/01/2014 09:00,10/01/2014 10:00,55.005
10/01/2014 10:00,10/01/2014 11:00,54.831
10/01/2014 11:00,10/01/2014 12:00,54.806
10/01/2014 12:00,10/01/2014 13:00,54.881
10/01/2014 13:00,10/01/2014 14:00,54.884
10/01/2014 14:00,10/01/2014 15:00,54.859
10/01/2014 15:00,10/01/2014 16:00,54.849
10/01/2014 16:00,10/01/2014 17:00,57.657
10/01/2014 17:00,10/01/2014 18:00,63.245
10/01/2014 18:00,10/01/2014 19:00,50.632
10/01/2014 19:00,10/01/2014 20:00,50.692
10/01/2014 20:00,10/01/2014 21:00,45.707
10/01/2014 21:00,10/01/2014 22:00,20.694
10/01/2014 22:00,10/01/2014 23:00,12.57
10/01/2014 23:00,11/01/2014 00:00,12.57
11/01/2014 00:00,11/01/2014 01:00,11.971
11/01/2014 01:00,11/01/2014 02:00,11.971
11/01/2014 02:00,11/01/2014 03:00,11.992
11/01/2014 03:00,11/01/2014 04:00,12.028
11/01/2014 04:00,11/01/2014 05:00,12.034
11/01/2014 05:00,11/01/2014 06:00,12.076
11/01/2014 06:00,11/01/2014 07:00,22.639
11/01/2014 07:00,11/01/2014 08:00,26.061
11/01/2014 08:00,11/01/2014 09:00,34.539
11/01/2014 09:00,11/01/2014 10:00,42.453
11/01/2014 10:00,11/01/2014 11:00,54.83
11/01/2014 11:00,11/01/2014 12:00,54.461
11/01/2014 12:00,11/01/2014 13:00,54.296
11/01/2014 13:00,11/01/2014 14:00,54.537
11/01/2014 14:00,11/01/2014 15:00,54.494
11/01/2014 15:00,11/01/2014 16:00,54.526
11/01/2014 16:00,11/01/2014 17:00,57.505
11/01/2014 17:00,11/01/2014 18:00,63.122
11/01/2014 18:00,11/01/2014 19:00,45.553
11/01/2014 19:00,11/01/2014 20:00,35.579
11/01/2014 20:00,11/01/2014 21:00,35.597
11/01/2014 21:00,11/01/2014 22:00,25.643
11/01/2014 22:00,11/01/2014 23:00,11.971
11/01/2014 23:00,12/01/2014 00:00,11.971
12/01/2014 00:00,12/01/2014 01:00,11.971
12/01/2014 01:00,12/01/2014 02:00,11.971
12/01/2014 02:00,12/01/2014 03:00,11.971
12/01/2014 03:00,12/01/2014 04:00,11.971
