Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,81.419
01/01/2014 01:00,01/01/2014 02:00,80.97
01/01/2014 02:00,01/01/2014 03:00,80.451
01/01/2014 03:00,01/01/2014 04:00,79.982
01/01/2014 04:00,01/01/2014 05:00,86.168
01/01/2014 05:00,01/01/2014 06:00,92.827
01/01/2014 06:00,01/01/2014 07:00,122.51
01/01/2014 07:00,01/01/2014 08:00,132.98
01/01/2014 08:00,01/01/2014 09:00,163.89
01/01/2014 09:00,01/01/2014 10:00,126.23
01/01/2014 10:00,01/01/2014 11:00,161.46
01/01/2014 11:00,01/01/2014 12:00,192.88
01/01/2014 12:00,01/01/2014 13:00,200.47
01/01/2014 13:00,01/01/2014 14:00,198.72
01/01/2014 14:00,01/01/2014 15:00,194.55
01/01/2014 15:00,01/01/2014 16:00,192.04
01/01/2014 16:00,01/01/2014 17:00,196.18
01/01/2014 17:00,01/01/2014 18:00,172.46
01/01/2014 18:00,01/01/2014 19:00,178.69
01/01/2014 19:00,01/01/2014 20:00,160.02
01/01/2014 20:00,01/01/2014 21:00,153.01
01/01/2014 21:00,01/01/2014 22:00,139.5
01/01/2014 22:00,01/01/2014 23:00,82.998
01/01/2014 23:00,02/01/2014 00:00,118.12
02/01/2014 00:00,02/01/2014 01:00,89.713
02/01/2014 01:00,02/01/2014 02:00,82.197
02/01/2014 02:00,02/01/2014 03:00,81.095
02/01/2014 03:00,02/01/2014 04:00,80.879
02/01/2014 04:00,02/01/2014 05:00,94.938
02/01/2014 05:00,02/01/2014 06:00,95.195
02/01/2014 06:00,02/01/2014 07:00,137.35
02/01/2014 07:00,02/01/2014 08:00,147.69
02/01/2014 08:00,02/01/2014 09:00,220.61
02/01/2014 09:00,02/01/2014 10:00,237.41
02/01/2014 10:00,02/01/2014 11:00,227.67
02/01/2014 11:00,02/01/2014 12:00,256.9
02/01/2014 12:00,02/01/2014 13:00,237.42
02/01/2014 13:00,02/01/2014 14:00,235.04
02/01/2014 14:00,02/01/2014 15:00,231.28
02/01/2014 15:00,02/01/2014 16:00,227.58
02/01/2014 16:00,02/01/2014 17:00,233.49
02/01/2014 17:00,02/01/2014 18:00,239.34
02/01/2014 18:00,02/01/2014 19:00,237.1
02/01/2014 19:00,02/01/2014 20:00,220.88
02/01/2014 20:00,02/01/2014 21:00,194.99
02/01/2014 21:00,02/01/2014 22:00,137.33
02/01/2014 22:00,02/01/2014 23:00,83.699
02/01/2014 23:00,03/01/2014 00:00,118.7
