Time start,Time end,ElectricityTotal_kWh_per_h
01/01/2014 00:00,01/01/2014 01:00,17.4
01/01/2014 01:00,01/01/2014 02:00,17.048
01/01/2014 02:00,01/01/2014 03:00,17.637
01/01/2014 03:00,01/01/2014 04:00,17.082
01/01/2014 04:00,01/01/2014 05:00,17.683
01/01/2014 05:00,01/01/2014 06:00,17.092
01/01/2014 06:00,01/01/2014 07:00,17.646
01/01/2014 07:00,01/01/2014 08:00,17.108
01/01/2014 08:00,01/01/2014 09:00,16.237
01/01/2014 09:00,01/01/2014 10:00,8.3312
01/01/2014 10:00,01/01/2014 11:00,8.8822
01/01/2014 11:00,01/01/2014 12:00,8.2471
01/01/2014 12:00,01/01/2014 13:00,8.8656
01/01/2014 13:00,01/01/2014 14:00,8.236
01/01/2014 14:00,01/01/2014 15:00,8.7914
01/01/2014 15:00,01/01/2014 16:00,8.1473
01/01/2014 16:00,01/01/2014 17:00,13.186
01/01/2014 17:00,01/01/2014 18:00,17.19
01/01/2014 18:00,01/01/2014 19:00,17.694
01/01/2014 19:00,01/01/2014 20:00,17.178
01/01/2014 20:00,01/01/2014 21:00,17.835
01/01/2014 21:00,01/01/2014 22:00,17.173
01/01/2014 22:00,01/01/2014 23:00,17.696
01/01/2014 23:00,02/01/2014 00:00,17.111
02/01/2014 00:00,02/01/2014 01:00,17.659
02/01/2014 01:00,02/01/2014 02:00,17.11
02/01/2014 02:00,02/01/2014 03:00,17.766
02/01/2014 03:00,02/01/2014 04:00,17.244
02/01/2014 04:00,02/01/2014 05:00,17.741
02/01/2014 05:00,02/01/2014 06:00,17.15
02/01/2014 06:00,02/01/2014 07:00,19.75
02/01/2014 07:00,02/01/2014 08:00,40.24
02/01/2014 08:00,02/01/2014 09:00,58.231
02/01/2014 09:00,02/01/2014 10:00,62.77
02/01/2014 10:00,02/01/2014 11:00,62.77
02/01/2014 11:00,02/01/2014 12:00,62.77
02/01/2014 12:00,02/01/2014 13:00,56.277
02/01/2014 13:00,02/01/2014 14:00,62.77
02/01/2014 14:00,02/01/2014 15:00,62.77
02/01/2014 15:00,02/01/2014 16:00,62.77
02/01/2014 16:00,02/01/2014 17:00,67.231
02/01/2014 17:00,02/01/2014 18:00,30.73
02/01/2014 18:00,02/01/2014 19:00,16.767
02/01/2014 19:00,02/01/2014 20:00,17.381
02/01/2014 20:00,02/01/2014 21:00,16.996
02/01/2014 21:00,02/01/2014 22:00,17.636
02/01/2014 22:00,02/01/2014 23:00,17.137
02/01/2014 23:00,03/01/2014 00:00,17.791
03/01/2014 00:00,03/01/2014 01:00,17.246
03/01/2014 01:00,03/01/2014 02:00,17.893
03/01/2014 02:00,03/01/2014 03:00,17.301
03/01/2014 03:00,03/01/2014 04:00,17.917
03/01/2014 04:00,03/01/2014 05:00,17.316
03/01/2014 05:00,03/01/2014 06:00,17.97
03/01/2014 06:00,03/01/2014 07:00,19.75
03/01/2014 07:00,03/01/2014 08:00,40.166
03/01/2014 08:00,03/01/2014 09:00,58.157
03/01/2014 09:00,03/01/2014 10:00,62.745
03/01/2014 10:00,03/01/2014 11:00,62.77
03/01/2014 11:00,03/01/2014 12:00,62.77
03/01/2014 12:00,03/01/2014 13:00,56.277
03/01/2014 13:00,03/01/2014 14:00,62.77
03/01/2014 14:00,03/01/2014 15:00,62.77
03/01/2014 15:00,03/01/2014 16:00,62.77
03/01/2014 16:00,03/01/2014 17:00,67.231
03/01/2014 17:00,03/01/2014 18:00,31.093
03/01/2014 18:00,03/01/2014 19:00,17.12
03/01/2014 19:00,03/01/2014 20:00,17.811
03/01/2014 20:00,03/01/2014 21:00,17.338
03/01/2014 21:00,03/01/2014 22:00,18.05
03/01/2014 22:00,03/01/2014 23:00,17.516
03/01/2014 23:00,04/01/2014 00:00,18.163
04/01/2014 00:00,04/01/2014 01:00,17.611
04/01/2014 01:00,04/01/2014 02:00,18.284
04/01/2014 02:00,04/01/2014 03:00,17.676
04/01/2014 03:00,04/01/2014 04:00,18.342
04/01/2014 04:00,04/01/2014 05:00,17.726
04/01/2014 05:00,04/01/2014 06:00,18.391
04/01/2014 06:00,04/01/2014 07:00,17.756
04/01/2014 07:00,04/01/2014 08:00,19.75
04/01/2014 08:00,04/01/2014 09:00,19.274
04/01/2014 09:00,04/01/2014 10:00,21.535
04/01/2014 10:00,04/01/2014 11:00,21.535
04/01/2014 11:00,04/01/2014 12:00,21.535
