in:Walls,in:Roof,in:Windows,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Kitchen,out:Peak_Kitchen[W],out:LT_kitchen,out:LivingR,out:Peak_LivingR[W],out:LT_LivingR,out:Attic,out:Peak_Attic[W],out:LT_Attic,img
non_insulated_w,non_insulated_r,sing_glazing,False,False,146.478053,2.004259,56.359047,229.673406,699669.125528,4,1606.433512,Almost LT-ready,14,9917.480777,Not LT-ready,3,14214.438306,Not LT-ready,Wallsnon_insulated_w_Roofnon_insulated_r_Windowssing_glazing.png
cavity_w_insulation,non_insulated_r,sing_glazing,False,False,103.278256,1.7474,56.102188,186.216749,534762.206121,1,1100.307869,Almost LT-ready,5,7632.487305,Not LT-ready,3,13821.818646,Not LT-ready,Wallscavity_w_insulation_Roofnon_insulated_r_Windowssing_glazing.png
l_insulation,non_insulated_r,sing_glazing,False,False,101.710178,1.737471,56.09226,184.638743,528775.955637,1,1081.714008,Almost LT-ready,5,7548.988762,Not LT-ready,3,13807.555399,Not LT-ready,Wallsl_insulation_Roofnon_insulated_r_Windowssing_glazing.png
m_insulation,non_insulated_r,sing_glazing,False,False,98.670454,1.721823,56.076612,181.583371,517174.062434,0,1044.627059,LT-ready,5,7382.682801,Not LT-ready,3,13779.15115,Not LT-ready,Wallsm_insulation_Roofnon_insulated_r_Windowssing_glazing.png
h_insulation,non_insulated_r,sing_glazing,False,False,96.9857,1.718445,56.073234,179.895239,510747.407603,0,1025.026201,LT-ready,5,7294.926539,Not LT-ready,3,13764.163261,Not LT-ready,Wallsh_insulation_Roofnon_insulated_r_Windowssing_glazing.png
non_insulated_w,l_r_insulation,sing_glazing,False,False,114.312288,1.571043,55.925832,197.074425,576715.993955,4,1425.937763,Almost LT-ready,14,7645.849705,Not LT-ready,3,8273.478424,Not LT-ready,Wallsnon_insulated_w_Roofl_r_insulation_Windowssing_glazing.png
cavity_w_insulation,l_r_insulation,sing_glazing,False,True,69.708707,1.305725,55.660514,152.205526,406450.323916,0,887.464516,LT-ready,5,5152.532115,Not LT-ready,3,7779.828979,Not LT-ready,Wallscavity_w_insulation_Roofl_r_insulation_Windowssing_glazing.png
l_insulation,l_r_insulation,sing_glazing,False,True,68.072372,1.295807,55.650596,150.559273,400203.798856,0,867.980588,LT-ready,5,5060.845239,Not LT-ready,3,7761.580966,Not LT-ready,Wallsl_insulation_Roofl_r_insulation_Windowssing_glazing.png
m_insulation,l_r_insulation,sing_glazing,False,True,64.86735,1.279128,55.633917,147.337572,387970.881726,0,829.0485,LT-ready,5,4878.088558,Almost LT-ready,3,7725.11881,Not LT-ready,Wallsm_insulation_Roofl_r_insulation_Windowssing_glazing.png
h_insulation,l_r_insulation,sing_glazing,False,True,63.167525,1.268321,55.62311,145.62694,381481.644025,0,808.417987,LT-ready,5,4781.547641,Almost LT-ready,3,7705.788422,Not LT-ready,Wallsh_insulation_Roofl_r_insulation_Windowssing_glazing.png
