in:Windows,in:Roof,in:Walls,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Kitchen,out:Peak_Kitchen[W],out:LT_kitchen,out:LivingR,out:Peak_LivingR[W],out:LT_LivingR,out:Attic,out:Peak_Attic[W],out:LT_Attic,img
double_glas,non_insulated_r,non_insulated_w,False,False,107.690615,1.690302,56.045091,190.572011,551548.193919,1,1156.873153,Almost LT-ready,11,7704.085553,Not LT-ready,3,11157.149537,Not LT-ready,Windowsdouble_glas_Roofnon_insulated_r_Wallsnon_insulated_w.png
acht_w_foil,non_insulated_r,non_insulated_w,False,False,102.54734,1.710988,56.065777,185.449422,531950.011839,0,1063.06596,LT-ready,9,7522.299127,Not LT-ready,3,10870.297131,Not LT-ready,Windowsacht_w_foil_Roofnon_insulated_r_Wallsnon_insulated_w.png
HR++,non_insulated_r,non_insulated_w,False,False,98.641038,1.727222,56.082011,181.559354,517065.609405,0,990.498714,LT-ready,7,7382.033961,Not LT-ready,3,10652.69379,Not LT-ready,WindowsHR++_Roofnon_insulated_r_Wallsnon_insulated_w.png
triple_glas,non_insulated_r,non_insulated_w,False,False,96.173509,1.731792,56.086581,179.096395,507659.533782,0,946.097675,LT-ready,6,7296.308472,Not LT-ready,3,10521.032212,Not LT-ready,Windowstriple_glas_Roofnon_insulated_r_Wallsnon_insulated_w.png
double_glas,l_r_insulation,non_insulated_w,False,False,87.053423,1.420793,55.775582,169.66531,472668.656319,0,1023.970879,LT-ready,11,6249.762471,Not LT-ready,3,7416.450738,Not LT-ready,Windowsdouble_glas_Roofl_r_insulation_Wallsnon_insulated_w.png
acht_w_foil,l_r_insulation,non_insulated_w,False,False,81.613972,1.435994,55.790783,164.24106,451937.315808,0,927.479893,LT-ready,8,6036.376387,Not LT-ready,3,7091.876161,Almost LT-ready,Windowsacht_w_foil_Roofl_r_insulation_Wallsnon_insulated_w.png
HR++,l_r_insulation,non_insulated_w,False,True,77.485769,1.450693,55.805482,160.127555,436205.701589,0,852.708239,LT-ready,6,5885.271321,Not LT-ready,3,6844.555579,Almost LT-ready,WindowsHR++_Roofl_r_insulation_Wallsnon_insulated_w.png
triple_glas,l_r_insulation,non_insulated_w,False,True,74.911742,1.462192,55.816981,157.565028,426398.294619,0,807.386943,LT-ready,6,5792.64387,Not LT-ready,3,6694.363178,Almost LT-ready,Windowstriple_glas_Roofl_r_insulation_Wallsnon_insulated_w.png
double_glas,m_r_insulation,non_insulated_w,False,False,80.680063,1.350192,55.704981,163.221349,448317.075226,0,979.369512,LT-ready,10,5821.530689,Not LT-ready,3,6273.979577,Almost LT-ready,Windowsdouble_glas_Roofm_r_insulation_Wallsnon_insulated_w.png
acht_w_foil,m_r_insulation,non_insulated_w,False,True,75.134163,1.365929,55.720718,157.691186,427180.189429,0,893.72764,LT-ready,8,5596.315134,Not LT-ready,2,5935.940465,Almost LT-ready,Windowsacht_w_foil_Roofm_r_insulation_Wallsnon_insulated_w.png
HR++,m_r_insulation,non_insulated_w,False,True,70.995151,1.369959,55.724748,153.556204,411400.014888,0,826.719724,LT-ready,4,5441.061571,Not LT-ready,1,5677.921857,Almost LT-ready,WindowsHR++_Roofm_r_insulation_Wallsnon_insulated_w.png
triple_glas,m_r_insulation,non_insulated_w,False,True,68.390947,1.384433,55.739222,150.966473,401479.583349,0,785.542641,LT-ready,4,5345.711837,Not LT-ready,1,5521.055945,Almost LT-ready,Windowstriple_glas_Roofm_r_insulation_Wallsnon_insulated_w.png
double_glas,h_r_insulation,non_insulated_w,False,True,77.753796,1.315965,55.670754,160.260854,437135.03158,0,968.891293,LT-ready,10,5626.847935,Not LT-ready,2,5751.647801,Almost LT-ready,Windowsdouble_glas_Roofh_r_insulation_Wallsnon_insulated_w.png
acht_w_foil,h_r_insulation,non_insulated_w,False,True,72.192689,1.329888,55.684677,154.713671,415938.910052,0,883.257167,LT-ready,5,5396.411898,Not LT-ready,1,5407.087226,Almost LT-ready,Windowsacht_w_foil_Roofh_r_insulation_Wallsnon_insulated_w.png
HR++,h_r_insulation,non_insulated_w,False,True,67.988691,1.345054,55.699843,150.524839,399918.5949,0,816.284989,LT-ready,2,4582.28396,Almost LT-ready,1,5143.909554,Almost LT-ready,WindowsHR++_Roofh_r_insulation_Wallsnon_insulated_w.png
triple_glas,h_r_insulation,non_insulated_w,False,True,65.36562,1.351481,55.70627,147.908195,389920.683921,0,775.148579,LT-ready,2,4491.205513,Almost LT-ready,1,4983.835476,Almost LT-ready,Windowstriple_glas_Roofh_r_insulation_Wallsnon_insulated_w.png
double_glas,non_insulated_r,cavity_w_insulation,False,False,80.259968,1.534766,55.889555,162.985828,446842.178683,0,830.840029,LT-ready,5,6187.740631,Not LT-ready,3,10883.051779,Not LT-ready,Windowsdouble_glas_Roofnon_insulated_r_Wallscavity_w_insulation.png
acht_w_foil,non_insulated_r,cavity_w_insulation,False,True,75.130107,1.553944,55.908732,157.875144,427294.10599,0,734.081425,LT-ready,5,5985.753568,Not LT-ready,3,10592.212479,Not LT-ready,Windowsacht_w_foil_Roofnon_insulated_r_Wallscavity_w_insulation.png
HR++,non_insulated_r,cavity_w_insulation,False,True,71.321817,1.556948,55.911737,154.069859,412774.342438,0,659.018685,LT-ready,5,5834.626924,Not LT-ready,3,10371.242484,Not LT-ready,WindowsHR++_Roofnon_insulated_r_Wallscavity_w_insulation.png
triple_glas,non_insulated_r,cavity_w_insulation,False,True,68.901568,1.575326,55.930114,151.667987,403558.055722,0,612.919323,LT-ready,5,5741.926769,Not LT-ready,3,10237.267586,Not LT-ready,Windowstriple_glas_Roofnon_insulated_r_Wallscavity_w_insulation.png
double_glas,l_r_insulation,cavity_w_insulation,False,True,59.077136,1.261786,55.616575,141.530016,365879.609912,0,688.733243,LT-ready,5,4657.232037,Almost LT-ready,3,7097.145538,Almost LT-ready,Windowsdouble_glas_Roofl_r_insulation_Wallscavity_w_insulation.png
