in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
double_glas,non_insulated_w,non_insulated_r,No gap_s + vA,False,False,250.935037,5.302382,49.809165,337.680584,82550.446738,1512.644731,Almost LT-ready,5238.012373,Not LT-ready,49.46347,False,5.901826,False,Windowsdouble_glas_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,non_insulated_w,non_insulated_r,No gap_s + vA,False,False,235.339853,5.397769,49.904553,322.180788,78218.549875,1418.695074,LT-ready,5087.035535,Not LT-ready,46.723744,False,6.381279,False,Windowsacht_w_foil_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,non_insulated_w,non_insulated_r,No gap_s + vA,False,False,223.469513,5.430737,49.937521,310.343416,74919.319186,1343.390521,LT-ready,4970.401112,Not LT-ready,44.474886,False,6.666667,False,WindowsHR++_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
triple_glas,non_insulated_w,non_insulated_r,No gap_s + vA,False,False,215.408215,5.475511,49.982294,302.326891,72679.893225,1296.104992,LT-ready,4898.683255,Not LT-ready,42.728311,False,6.883562,False,Windowstriple_glas_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
double_glas,cavity_w_insulation,non_insulated_r,No gap_s + vA,False,False,205.160048,4.60559,49.112373,291.208803,69786.443227,1098.042845,LT-ready,4997.673998,Not LT-ready,13.561644,False,5.353881,False,Windowsdouble_glas_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,cavity_w_insulation,non_insulated_r,No gap_s + vA,False,False,188.589785,4.697526,49.204309,274.730476,65183.22472,996.032813,LT-ready,4841.655524,Not LT-ready,9.634703,False,6.038813,False,Windowsacht_w_foil_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,cavity_w_insulation,non_insulated_r,No gap_s + vA,False,False,175.892992,4.728932,49.235715,262.065089,61654.096916,914.039664,LT-ready,4720.665066,Not LT-ready,6.461187,False,6.780822,False,WindowsHR++_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
triple_glas,cavity_w_insulation,non_insulated_r,No gap_s + vA,False,False,167.85465,4.795278,49.302061,254.093093,59422.137142,862.420148,LT-ready,4645.972507,Not LT-ready,4.965753,False,7.351598,False,Windowstriple_glas_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
double_glas,l_insulation,non_insulated_r,No gap_s + vA,False,False,202.449028,4.566682,49.073465,288.458875,69030.614564,1072.88678,LT-ready,4983.266971,Not LT-ready,11.038813,False,5.33105,False,Windowsdouble_glas_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,l_insulation,non_insulated_r,No gap_s + vA,False,False,185.840779,4.652853,49.159636,271.936797,64416.54366,970.332704,LT-ready,4826.875972,Not LT-ready,7.271689,False,6.141553,False,Windowsacht_w_foil_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
