in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
double_glas,l_insulation,m_r_insulation,No gap_s + vA,False,False,153.82318,3.677822,48.184605,238.944167,55464.210003,990.717497,LT-ready,3127.594214,Almost LT-ready,7.111872,False,5.410959,False,Windowsdouble_glas_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,l_insulation,m_r_insulation,No gap_s + vA,False,False,136.077761,3.771971,48.278754,221.292897,50534.317054,885.545425,LT-ready,2946.449983,Almost LT-ready,4.315068,False,6.575342,False,Windowsacht_w_foil_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
HR++,l_insulation,m_r_insulation,No gap_s + vA,False,False,122.594304,3.811663,48.318446,207.849132,46786.850808,800.864287,LT-ready,2805.316415,Almost LT-ready,2.739726,False,7.374429,False,WindowsHR++_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,l_insulation,m_r_insulation,No gap_s + vA,False,False,114.322178,3.8747,48.381483,199.640043,44489.714694,747.45373,LT-ready,2717.748033,Almost LT-ready,1.769406,False,8.173516,False,Windowstriple_glas_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
double_glas,m_insulation,m_r_insulation,No gap_s + vA,False,False,151.614658,3.651139,48.157923,236.708963,54848.728729,971.313348,LT-ready,3114.67094,Almost LT-ready,5.650685,False,5.479452,False,Windowsdouble_glas_Wallsm_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,m_insulation,m_r_insulation,No gap_s + vA,False,False,133.804187,3.747811,48.254594,218.995163,49900.872788,865.706157,LT-ready,2933.117339,Almost LT-ready,3.356164,False,6.609589,False,Windowsacht_w_foil_Wallsm_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
HR++,m_insulation,m_r_insulation,No gap_s + vA,False,False,120.29505,3.782558,48.289342,205.520774,46146.017379,780.657156,LT-ready,2791.595038,Almost LT-ready,1.872146,False,7.363014,False,WindowsHR++_Wallsm_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,m_insulation,m_r_insulation,No gap_s + vA,False,False,112.019768,3.840084,48.346867,197.303017,43847.727036,727.004949,LT-ready,2703.733519,Almost LT-ready,0.913242,True,8.504566,False,Windowstriple_glas_Wallsm_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
double_glas,h_insulation,m_r_insulation,No gap_s + vA,False,False,145.350243,3.577283,48.084067,230.370692,53103.02384,916.065334,LT-ready,3077.823985,Almost LT-ready,2.728311,False,5.616438,False,Windowsdouble_glas_Wallsh_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,h_insulation,m_r_insulation,No gap_s + vA,False,False,127.400329,3.668696,48.175479,212.51219,48116.127894,809.182301,LT-ready,2895.009558,Almost LT-ready,0.993151,True,6.872146,False,Windowsacht_w_foil_Wallsh_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
HR++,h_insulation,m_r_insulation,No gap_s + vA,False,False,113.966343,3.697478,48.204262,199.106987,44381.871008,723.062722,LT-ready,2752.257652,Almost LT-ready,0.182648,True,8.105023,False,WindowsHR++_Wallsh_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,h_insulation,m_r_insulation,No gap_s + vA,False,False,105.437295,3.76909,48.275873,190.64955,42013.720713,668.706822,LT-ready,2663.435366,Almost LT-ready,0,True,9.554795,False,Windowstriple_glas_Wallsh_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
double_glas,l_insulation,h_r_insulation,No gap_s + vA,False,False,144.515058,3.529807,48.03659,229.48803,52868.394345,977.460636,LT-ready,2761.462843,Almost LT-ready,6.883562,False,5.445205,False,Windowsdouble_glas_Wallsl_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,l_insulation,h_r_insulation,No gap_s + vA,False,False,126.568054,3.620009,48.126793,211.631229,47882.246936,871.43914,LT-ready,2574.700679,Almost LT-ready,4.189498,False,6.609589,False,Windowsacht_w_foil_Wallsl_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
HR++,l_insulation,h_r_insulation,No gap_s + vA,False,False,113.034144,3.653681,48.160465,198.130991,44120.448693,785.943323,LT-ready,2429.139792,LT-ready,2.557078,False,7.351598,False,WindowsHR++_Wallsl_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,l_insulation,h_r_insulation,No gap_s + vA,False,False,104.289943,3.724297,48.231081,189.457406,41692.419063,731.923111,LT-ready,2338.816274,LT-ready,1.552511,False,8.207763,False,Windowstriple_glas_Wallsl_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
double_glas,m_insulation,h_r_insulation,No gap_s + vA,False,False,142.295257,3.497511,48.004295,227.235934,52249.494943,957.972747,LT-ready,2748.096341,Almost LT-ready,5.468037,False,5.525114,False,Windowsdouble_glas_Wallsm_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,m_insulation,h_r_insulation,No gap_s + vA,False,False,124.259636,3.591883,48.098666,209.294684,47238.914226,851.499536,LT-ready,2560.904243,Almost LT-ready,3.230594,False,6.621005,False,Windowsacht_w_foil_Wallsm_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
HR++,m_insulation,h_r_insulation,No gap_s + vA,False,False,110.59032,3.629851,48.136634,195.663336,43439.67809,765.621187,LT-ready,2414.937892,LT-ready,1.746575,False,7.431507,False,WindowsHR++_Wallsm_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
