in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
sing_glazing,non_insulated_w,non_insulated_r,No gap_s + vA,FALSE,FALSE,323.563999,6.434552,50.941335,411.441716,102803.809104,1936.20473,Almost LT-ready,6511.937959,Not LT-ready,60.045662,FALSE,6.038813,FALSE,Windowssing_glazing_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
monumental_glas,non_insulated_w,non_insulated_r,No gap_s + vA,FALSE,FALSE,296.641806,6.142399,50.649183,384.227371,95302.667394,1767.074234,Almost LT-ready,6226.957867,Not LT-ready,57.705479,FALSE,6.381279,FALSE,Windowsmonumental_glas_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,non_insulated_w,non_insulated_r,No gap_s + vA,FALSE,FALSE,281.842457,6.237374,50.744158,369.522997,91192.054328,1677.670595,Almost LT-ready,6087.20751,Not LT-ready,56.40411,FALSE,6.826484,FALSE,Windowsacht_w_foil_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,non_insulated_w,non_insulated_r,No gap_s + vA,FALSE,FALSE,270.321954,6.270785,50.777569,358.035905,87990.127984,1606.101101,Almost LT-ready,5979.474876,Not LT-ready,55.079909,FALSE,7.06621,FALSE,WindowsHR++_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
vacuum_glas,non_insulated_w,non_insulated_r,No gap_s + vA,FALSE,FALSE,263.245195,6.317439,50.824222,351.005799,86024.575398,1561.210836,Almost LT-ready,5913.390079,Not LT-ready,54.063927,FALSE,7.260274,FALSE,Windowsvacuum_glas_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
sing_glazing,cavity_w_insulation,non_insulated_r,No gap_s + vA,FALSE,FALSE,255.885081,5.32076,49.827543,342.649006,83927.869335,1309.033549,LT-ready,6168.55195,Not LT-ready,23.173516,FALSE,4.634703,FALSE,Windowssing_glazing_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
monumental_glas,cavity_w_insulation,non_insulated_r,No gap_s + vA,FALSE,FALSE,225.943732,5.024008,49.530791,312.410905,75586.934708,1117.746505,LT-ready,5871.618182,Not LT-ready,14.006849,FALSE,5.262557,FALSE,Windowsmonumental_glas_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,cavity_w_insulation,non_insulated_r,No gap_s + vA,FALSE,FALSE,209.767659,5.120456,49.627239,296.33128,71093.558357,1016.276994,LT-ready,5725.233803,Not LT-ready,10.034247,FALSE,6.015982,FALSE,Windowsacht_w_foil_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,cavity_w_insulation,non_insulated_r,No gap_s + vA,FALSE,FALSE,197.194483,5.165139,49.671923,283.802788,67599.472114,934.726919,LT-ready,5611.856557,Not LT-ready,6.8379,FALSE,6.73516,FALSE,WindowsHR++_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
vacuum_glas,cavity_w_insulation,non_insulated_r,No gap_s + vA,FALSE,FALSE,189.481663,5.225601,49.732384,276.150429,65457.737643,883.392217,LT-ready,5541.969985,Not LT-ready,5.216895,FALSE,7.39726,FALSE,Windowsvacuum_glas_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
sing_glazing,l_insulation,non_insulated_r,No gap_s + vA,FALSE,FALSE,253.228512,5.27715,49.783934,339.948828,83186.946404,1284.713477,LT-ready,6155.646872,Not LT-ready,20.057078,FALSE,4.634703,FALSE,Windowssing_glazing_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
monumental_glas,l_insulation,non_insulated_r,No gap_s + vA,FALSE,FALSE,223.207239,4.991514,49.498298,309.641919,74824.344485,1092.674478,LT-ready,5858.223119,Not LT-ready,11.472603,FALSE,5.285388,FALSE,Windowsmonumental_glas_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,l_insulation,non_insulated_r,No gap_s + vA,FALSE,FALSE,206.917745,5.079037,49.58582,293.439947,70298.98026,990.663226,LT-ready,5711.508141,Not LT-ready,7.636986,FALSE,6.164384,FALSE,Windowsacht_w_foil_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
