in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
double_glas,non_insulated_w,non_insulated_r,No gap_s + vA,False,False,170.864244,4.673048,49.179832,256.980458,60252.906286,861.377308,LT-ready,5154.412527,Not LT-ready,0,True,19.863014,False,Windowsdouble_glas_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,non_insulated_w,non_insulated_r,No gap_s + vA,False,False,156.470925,4.776814,49.283598,242.690905,56255.642561,758.192306,LT-ready,5001.193575,Not LT-ready,0,True,26.917808,False,Windowsacht_w_foil_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,non_insulated_w,non_insulated_r,No gap_s + vA,False,False,145.422461,4.820809,49.327592,231.686435,53185.511164,675.2432,LT-ready,4882.462648,Not LT-ready,0,True,33.824201,False,WindowsHR++_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
triple_glas,non_insulated_w,non_insulated_r,No gap_s + vA,False,False,138.612323,4.883324,49.390107,224.938812,51294.896138,623.005573,LT-ready,4809.195126,Not LT-ready,0,True,39.611872,False,Windowstriple_glas_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
double_glas,cavity_w_insulation,non_insulated_r,No gap_s + vA,False,False,153.843177,4.404587,48.911371,239.69093,55506.242762,708.728791,LT-ready,4949.614096,Not LT-ready,0,True,25.730594,False,Windowsdouble_glas_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,cavity_w_insulation,non_insulated_r,No gap_s + vA,False,False,139.534873,4.505832,49.012615,225.48387,51532.493308,603.045578,LT-ready,4792.897655,Not LT-ready,0,True,35.696347,False,Windowsacht_w_foil_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,cavity_w_insulation,non_insulated_r,No gap_s + vA,False,False,128.684627,4.551796,49.05858,214.679589,48517.580968,517.933316,LT-ready,4671.079971,Not LT-ready,0,True,46.643836,False,WindowsHR++_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
triple_glas,cavity_w_insulation,non_insulated_r,No gap_s + vA,False,False,121.859376,4.608982,49.115766,207.911524,46622.495912,464.185327,LT-ready,4595.595867,Not LT-ready,0,True,54.988584,False,Windowstriple_glas_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
double_glas,l_insulation,non_insulated_r,No gap_s + vA,False,False,152.883521,4.389911,48.896695,238.716598,55238.646656,699.788956,LT-ready,4937.759233,Not LT-ready,0,True,26.267123,False,Windowsdouble_glas_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,l_insulation,non_insulated_r,No gap_s + vA,False,False,138.517392,4.486235,48.993018,224.446792,51248.570363,593.946255,LT-ready,4780.813309,Not LT-ready,0,True,36.506849,False,Windowsacht_w_foil_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,l_insulation,non_insulated_r,No gap_s + vA,False,False,127.662606,4.528844,49.035628,213.634616,48232.22718,508.690099,LT-ready,4658.781892,Not LT-ready,0,True,47.842466,False,WindowsHR++_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
triple_glas,l_insulation,non_insulated_r,No gap_s + vA,False,False,120.894697,4.607736,49.114519,206.945598,46354.17694,454.835534,LT-ready,4583.136526,Not LT-ready,0,True,56.278539,False,Windowstriple_glas_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
double_glas,m_insulation,non_insulated_r,No gap_s + vA,False,False,150.897349,4.363322,48.870106,236.703837,54685.000782,681.996638,LT-ready,4914.2081,Not LT-ready,0,True,27.054795,False,Windowsdouble_glas_Wallsm_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,m_insulation,non_insulated_r,No gap_s + vA,False,False,136.610535,4.467205,48.973988,222.520905,50717.359618,575.829696,LT-ready,4756.791564,Not LT-ready,0,True,38.150685,False,Windowsacht_w_foil_Wallsm_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,m_insulation,non_insulated_r,No gap_s + vA,False,False,125.796925,4.506667,49.013451,211.746758,47712.308662,490.274329,LT-ready,4634.312952,Not LT-ready,0,True,49.931507,False,WindowsHR++_Wallsm_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
triple_glas,m_insulation,non_insulated_r,No gap_s + vA,False,False,119.047698,4.56764,49.074423,205.058503,45838.554236,436.195505,LT-ready,4558.327861,Not LT-ready,0,True,59.041096,False,Windowstriple_glas_Wallsm_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
double_glas,h_insulation,non_insulated_r,No gap_s + vA,False,False,149.880277,4.353565,48.860349,235.677008,54401.685382,672.620912,LT-ready,4901.819699,Not LT-ready,0,True,27.545662,False,Windowsdouble_glas_Wallsh_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,h_insulation,non_insulated_r,No gap_s + vA,False,False,135.569757,4.452244,48.959028,221.465167,50427.190984,566.27889,LT-ready,4744.146378,Not LT-ready,0,True,38.858447,False,Windowsacht_w_foil_Wallsh_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,h_insulation,non_insulated_r,No gap_s + vA,False,False,124.790717,4.493522,49.000305,210.727404,47431.844233,480.557097,LT-ready,4621.417849,Not LT-ready,0,True,51.130137,False,WindowsHR++_Wallsh_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
triple_glas,h_insulation,non_insulated_r,No gap_s + vA,False,False,118.002216,4.547145,49.053929,203.992527,45546.799803,426.354261,LT-ready,4545.24176,Not LT-ready,0,True,60.342466,False,Windowstriple_glas_Wallsh_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
double_glas,non_insulated_w,l_r_insulation,No gap_s + vA,False,False,137.386524,4.008254,48.515037,222.837943,50910.113401,825.03347,LT-ready,3778.882453,Not LT-ready,0,True,20.76484,False,Windowsdouble_glas_Wallsnon_insulated_w_Roofl_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,non_insulated_w,l_r_insulation,No gap_s + vA,False,False,122.359287,4.104133,48.610917,207.906586,46736.175021,720.662295,LT-ready,3608.614694,Almost LT-ready,0,True,28.047945,False,Windowsacht_w_foil_Wallsnon_insulated_w_Roofl_r_insulation_InfiltrationNogap_s+vA.png
HR++,non_insulated_w,l_r_insulation,No gap_s + vA,False,False,110.859731,4.145153,48.651937,196.44805,43540.455436,636.727679,LT-ready,3476.326131,Almost LT-ready,0,True,35.479452,False,WindowsHR++_Wallsnon_insulated_w_Roofl_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,non_insulated_w,l_r_insulation,No gap_s + vA,False,False,103.75753,4.207735,48.714519,189.408431,41568.62736,583.848817,LT-ready,3394.450781,Almost LT-ready,0,True,41.621005,False,Windowstriple_glas_Wallsnon_insulated_w_Roofl_r_insulation_InfiltrationNogap_s+vA.png
double_glas,cavity_w_insulation,l_r_insulation,No gap_s + vA,False,False,119.593612,3.729398,48.236182,204.766176,45948.294841,670.636507,LT-ready,3547.094905,Almost LT-ready,0,True,26.872146,False,Windowsdouble_glas_Wallscavity_w_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,cavity_w_insulation,l_r_insulation,No gap_s + vA,False,False,104.580386,3.828096,48.33488,189.851648,41778.394037,563.696491,LT-ready,3372.306088,Almost LT-ready,0,True,37.796804,False,Windowsacht_w_foil_Wallscavity_w_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
HR++,cavity_w_insulation,l_r_insulation,No gap_s + vA,False,False,93.283266,3.874009,48.380793,178.600441,38639.21308,477.566962,LT-ready,3235.959367,Almost LT-ready,0,True,49.257991,False,WindowsHR++_Wallscavity_w_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,cavity_w_insulation,l_r_insulation,No gap_s + vA,False,False,86.212672,3.94487,48.451654,171.600708,36676.589702,423.182821,LT-ready,3151.108013,Almost LT-ready,0,True,58.242009,False,Windowstriple_glas_Wallscavity_w_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
