in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
double_glas,l_insulation,m_r_insulation,No gap_s + vA,False,False,106.287796,3.508371,48.015155,191.239333,42237.142798,636.089717,LT-ready,3079.719217,Almost LT-ready,0,True,28.447489,False,Windowsdouble_glas_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,l_insulation,m_r_insulation,No gap_s + vA,False,False,91.105883,3.612594,48.119378,176.161643,38020.611049,528.124374,LT-ready,2897.761889,Almost LT-ready,0,True,40.33105,False,Windowsacht_w_foil_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
HR++,l_insulation,m_r_insulation,No gap_s + vA,False,True,79.664445,3.650485,48.157268,164.758095,34840.895748,441.105523,LT-ready,2755.477991,Almost LT-ready,0,True,52.819635,False,WindowsHR++_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,l_insulation,m_r_insulation,No gap_s + vA,False,True,72.600288,3.708987,48.21577,157.75244,32879.442137,386.1273,LT-ready,2666.642073,Almost LT-ready,0,True,63.047945,False,Windowstriple_glas_Wallsl_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
double_glas,m_insulation,m_r_insulation,No gap_s + vA,False,False,105.485453,3.4999,48.006684,190.428519,42013.603432,629.205796,LT-ready,3069.105612,Almost LT-ready,0,True,28.984018,False,Windowsdouble_glas_Wallsm_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,m_insulation,m_r_insulation,No gap_s + vA,False,False,90.335641,3.605676,48.112459,175.384482,37806.076163,521.111762,LT-ready,2886.885646,Almost LT-ready,0,True,40.981735,False,Windowsacht_w_foil_Wallsm_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
HR++,m_insulation,m_r_insulation,No gap_s + vA,False,True,78.860291,3.635025,48.141809,163.938482,34616.502096,433.977601,LT-ready,2744.337281,Almost LT-ready,0,True,53.881279,False,WindowsHR++_Wallsm_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,m_insulation,m_r_insulation,No gap_s + vA,False,True,71.801737,3.692878,48.199661,156.93778,32656.573938,378.922993,LT-ready,2655.282398,Almost LT-ready,0,True,64.349315,False,Windowstriple_glas_Wallsm_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
double_glas,h_insulation,m_r_insulation,No gap_s + vA,False,False,103.230962,3.464467,47.97125,188.138594,41384.899962,609.739519,LT-ready,3039.108271,Almost LT-ready,0,True,30.285388,False,Windowsdouble_glas_Wallsh_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,h_insulation,m_r_insulation,No gap_s + vA,False,False,88.074918,3.573676,48.08046,173.09176,37175.812091,501.274339,LT-ready,2856.112105,Almost LT-ready,0,True,43.36758,False,Windowsacht_w_foil_Wallsh_insulation_Roofm_r_insulation_InfiltrationNogap_s+vA.png
