in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
sing_glazing,non_insulated_w,non_insulated_r,No gap_s + vA,False,False,227.340587,5.531432,50.038216,314.315185,76000.834528,1163.032817,LT-ready,6421.823663,Not LT-ready,0,True,12.06621,False,Windowssing_glazing_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
monumental_glas,non_insulated_w,non_insulated_r,No gap_s + vA,False,False,201.167422,5.274211,49.780994,287.884798,68709.734253,972.140638,LT-ready,6132.624179,Not LT-ready,0,True,17.534247,False,Windowsmonumental_glas_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,non_insulated_w,non_insulated_r,No gap_s + vA,False,False,187.084661,5.375515,49.882298,273.903341,64798.706447,870.829063,LT-ready,5990.365078,Not LT-ready,0,True,23.082192,False,Windowsacht_w_foil_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,non_insulated_w,non_insulated_r,No gap_s + vA,False,False,176.382858,5.426131,49.932914,263.252154,61825.306305,789.444342,LT-ready,5880.374304,Not LT-ready,0,True,28.584475,False,WindowsHR++_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
vacuum_glas,non_insulated_w,non_insulated_r,No gap_s + vA,False,False,169.579693,5.497097,50.00388,256.519955,59937.054424,738.233416,LT-ready,5812.686974,Not LT-ready,0,True,33.310502,False,Windowsvacuum_glas_Wallsnon_insulated_w_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
sing_glazing,cavity_w_insulation,non_insulated_r,No gap_s + vA,False,False,201.33274,5.072319,49.579103,287.848225,68745.57392,926.799133,LT-ready,6123.921675,Not LT-ready,0,True,15.6621,False,Windowssing_glazing_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
monumental_glas,cavity_w_insulation,non_insulated_r,No gap_s + vA,False,False,174.645185,4.828127,49.334911,260.916478,61312.086794,729.124615,LT-ready,5826.279126,Not LT-ready,0,True,25.273973,False,Windowsmonumental_glas_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,cavity_w_insulation,non_insulated_r,No gap_s + vA,False,False,160.653188,4.937949,49.444733,247.034303,57426.725963,623.972577,LT-ready,5679.344988,Not LT-ready,0,True,34.89726,False,Windowsacht_w_foil_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,cavity_w_insulation,non_insulated_r,No gap_s + vA,False,False,150.085162,4.989105,49.495889,236.517433,54490.553415,539.276762,LT-ready,5565.313896,Not LT-ready,0,True,45.43379,False,WindowsHR++_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
vacuum_glas,cavity_w_insulation,non_insulated_r,No gap_s + vA,False,False,143.578484,5.042018,49.548801,230.063667,52683.842143,485.78343,LT-ready,5494.798284,Not LT-ready,0,True,53.652968,False,Windowsvacuum_glas_Wallscavity_w_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
sing_glazing,l_insulation,non_insulated_r,No gap_s + vA,False,False,200.399696,5.062857,49.569641,286.905719,68485.639696,918.17611,LT-ready,6113.276438,Not LT-ready,0,True,15.821918,False,Windowssing_glazing_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
monumental_glas,l_insulation,non_insulated_r,No gap_s + vA,False,False,173.716656,4.818573,49.325357,259.978395,61053.403478,720.22815,LT-ready,5815.293793,Not LT-ready,0,True,25.559361,False,Windowsmonumental_glas_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,l_insulation,non_insulated_r,No gap_s + vA,False,False,159.730988,4.926658,49.433442,246.100812,57169.715435,614.916111,LT-ready,5668.161032,Not LT-ready,0,True,35.605023,False,Windowsacht_w_foil_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,l_insulation,non_insulated_r,No gap_s + vA,False,False,149.189677,4.973551,49.480334,235.606393,54240.757766,530.07547,LT-ready,5553.947696,Not LT-ready,0,True,46.426941,False,WindowsHR++_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
vacuum_glas,l_insulation,non_insulated_r,No gap_s + vA,False,False,142.612739,5.039302,49.546085,229.095206,52415.153019,476.473473,LT-ready,5483.295624,Not LT-ready,0,True,54.805936,False,Windowsvacuum_glas_Wallsl_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
sing_glazing,m_insulation,non_insulated_r,No gap_s + vA,False,False,198.507331,5.027349,49.534133,284.977846,67957.631932,901.02344,LT-ready,6092.151549,Not LT-ready,0,True,16.09589,False,Windowssing_glazing_Wallsm_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
monumental_glas,m_insulation,non_insulated_r,No gap_s + vA,False,False,171.819576,4.788461,49.295244,258.051202,60524.355316,702.522045,LT-ready,5793.479651,Not LT-ready,0,True,26.52968,False,Windowsmonumental_glas_Wallsm_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,m_insulation,non_insulated_r,No gap_s + vA,False,False,157.822211,4.8904,49.397183,244.155776,56637.106159,596.885125,LT-ready,5645.941264,Not LT-ready,0,True,37.146119,False,Windowsacht_w_foil_Wallsm_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,m_insulation,non_insulated_r,No gap_s + vA,False,False,147.302488,4.943442,49.450225,233.689095,53714.460279,511.742356,LT-ready,5531.346724,Not LT-ready,0,True,48.641553,False,WindowsHR++_Wallsm_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
vacuum_glas,m_insulation,non_insulated_r,No gap_s + vA,False,False,140.751379,5.007302,49.514086,227.201847,51895.94317,457.911353,LT-ready,5460.408975,Not LT-ready,0,True,57.317352,False,Windowsvacuum_glas_Wallsm_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
sing_glazing,h_insulation,non_insulated_r,No gap_s + vA,False,False,197.518731,5.014451,49.521234,283.976347,67682.076302,891.989834,LT-ready,6081.052988,Not LT-ready,0,True,16.312785,False,Windowssing_glazing_Wallsh_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
monumental_glas,h_insulation,non_insulated_r,No gap_s + vA,False,False,170.842189,4.772885,49.279669,257.05824,60251.783487,693.191607,LT-ready,5782.01042,Not LT-ready,0,True,26.986301,False,Windowsmonumental_glas_Wallsh_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
acht_w_foil,h_insulation,non_insulated_r,No gap_s + vA,False,False,156.859322,4.873108,49.379891,243.175595,56368.479745,587.378764,LT-ready,5634.250983,Not LT-ready,0,True,37.945205,False,Windowsacht_w_foil_Wallsh_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
HR++,h_insulation,non_insulated_r,No gap_s + vA,False,False,146.317199,4.931164,49.437947,232.691528,53439.856531,502.067664,LT-ready,5519.443963,Not LT-ready,0,True,49.748858,False,WindowsHR++_Wallsh_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
vacuum_glas,h_insulation,non_insulated_r,No gap_s + vA,False,False,139.811432,4.991552,49.498336,226.24615,51633.773814,448.105816,LT-ready,5448.345015,Not LT-ready,0,True,58.881279,False,Windowsvacuum_glas_Wallsh_insulation_Roofnon_insulated_r_InfiltrationNogap_s+vA.png
sing_glazing,non_insulated_w,l_r_insulation,No gap_s + vA,False,False,176.038581,4.4599,48.966684,261.941647,61681.081021,1111.393054,LT-ready,4258.837634,Not LT-ready,0,True,12.5,False,Windowssing_glazing_Wallsnon_insulated_w_Roofl_r_insulation_InfiltrationNogap_s+vA.png
monumental_glas,non_insulated_w,l_r_insulation,No gap_s + vA,False,False,148.066668,4.191592,48.698375,233.701425,53889.23139,917.515499,LT-ready,3919.36973,Not LT-ready,0,True,18.447489,False,Windowsmonumental_glas_Wallsnon_insulated_w_Roofl_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,non_insulated_w,l_r_insulation,No gap_s + vA,False,False,133.074701,4.287888,48.794671,218.805754,49725.121712,814.565168,LT-ready,3751.497031,Not LT-ready,0,True,24.691781,False,Windowsacht_w_foil_Wallsnon_insulated_w_Roofl_r_insulation_InfiltrationNogap_s+vA.png
HR++,non_insulated_w,l_r_insulation,No gap_s + vA,False,False,121.615726,4.335056,48.84184,207.393948,46540.995408,731.82431,LT-ready,3621.250754,Almost LT-ready,0,True,30.53653,False,WindowsHR++_Wallsnon_insulated_w_Roofl_r_insulation_InfiltrationNogap_s+vA.png
vacuum_glas,non_insulated_w,l_r_insulation,No gap_s + vA,False,False,114.374997,4.404052,48.910836,200.222215,44530.967568,679.73298,LT-ready,3540.770768,Almost LT-ready,0,True,35.525114,False,Windowsvacuum_glas_Wallsnon_insulated_w_Roofl_r_insulation_InfiltrationNogap_s+vA.png
sing_glazing,cavity_w_insulation,l_r_insulation,No gap_s + vA,False,False,148.079482,3.987376,48.494159,233.510023,53882.546311,871.626943,LT-ready,3898.859175,Not LT-ready,0,True,16.381279,False,Windowssing_glazing_Wallscavity_w_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
monumental_glas,cavity_w_insulation,l_r_insulation,No gap_s + vA,False,False,119.593612,3.729398,48.236182,204.766176,45948.294841,670.636507,LT-ready,3547.094905,Almost LT-ready,0,True,26.872146,False,Windowsmonumental_glas_Wallscavity_w_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,cavity_w_insulation,l_r_insulation,No gap_s + vA,False,False,104.580386,3.828096,48.33488,189.851648,41778.394037,563.696491,LT-ready,3372.306088,Almost LT-ready,0,True,37.796804,False,Windowsacht_w_foil_Wallscavity_w_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
HR++,cavity_w_insulation,l_r_insulation,No gap_s + vA,False,False,93.283266,3.874009,48.380793,178.600441,38639.21308,477.566962,LT-ready,3235.959367,Almost LT-ready,0,True,49.257991,False,WindowsHR++_Wallscavity_w_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
vacuum_glas,cavity_w_insulation,l_r_insulation,No gap_s + vA,False,False,86.212672,3.94487,48.451654,171.600708,36676.589702,423.182821,LT-ready,3151.108013,Almost LT-ready,0,True,58.242009,False,Windowsvacuum_glas_Wallscavity_w_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
sing_glazing,l_insulation,l_r_insulation,No gap_s + vA,False,False,147.102569,3.975558,48.482342,232.521293,53610.294883,862.863705,LT-ready,3885.887046,Not LT-ready,0,True,16.518265,False,Windowssing_glazing_Wallsl_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
monumental_glas,l_insulation,l_r_insulation,No gap_s + vA,False,False,118.547278,3.713059,48.219843,203.703503,45656.512,661.588001,LT-ready,3533.617181,Almost LT-ready,0,True,27.420091,False,Windowsmonumental_glas_Wallsl_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,l_insulation,l_r_insulation,No gap_s + vA,False,False,103.568425,3.813503,48.320286,188.825093,41496.257155,554.486072,LT-ready,3358.527624,Almost LT-ready,0,True,38.47032,False,Windowsacht_w_foil_Wallsl_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
HR++,l_insulation,l_r_insulation,No gap_s + vA,False,False,92.177766,3.859372,48.366156,177.480304,38331.062866,468.213792,LT-ready,3221.892909,Almost LT-ready,0,True,50.410959,False,WindowsHR++_Wallsl_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
vacuum_glas,l_insulation,l_r_insulation,No gap_s + vA,False,False,85.192574,3.919166,48.425949,170.554905,36391.632503,413.728846,LT-ready,3136.816509,Almost LT-ready,0,True,59.611872,False,Windowsvacuum_glas_Wallsl_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
sing_glazing,m_insulation,l_r_insulation,No gap_s + vA,False,False,145.021251,3.940058,48.446841,230.404474,53029.743721,845.42861,LT-ready,3860.114884,Not LT-ready,0,True,16.883562,False,Windowssing_glazing_Wallsm_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
monumental_glas,m_insulation,l_r_insulation,No gap_s + vA,False,False,116.447863,3.686287,48.19307,201.577315,45071.36646,643.577711,LT-ready,3506.817966,Almost LT-ready,0,True,28.378995,False,Windowsmonumental_glas_Wallsm_insulation_Roofl_r_insulation_InfiltrationNogap_s+vA.png
