BAG_pand_i	BAG_pand_b	Q_c_kWh 	Elec_kWh	Pec_4_cooling	COP	Q_v_kWh	Delta_T	H	Volume_m3	ACH_hr	Q_all_kWh	Q_all_GJ	BAG_pand_o	Meest_voor	Hoofdfun_1	Gebruiksop	LNG	LAT
3.631E+14	1997	3265.723564	3842.027723	0.17	4	14144.12753	10.6987785	3.050880626	161.6966732	3	17409.8511	62.67546396	53	A	K	53	4.885703	52.384692
3.631E+14	1997	3881.897822	4566.938614	0.17	4	16812.83084	10.6987785	3.050880626	192.2054795	3	20694.72867	74.50102319	63	A	K	63	4.88631	52.384344
3.631E+14	1891	2091.715832	3486.193053	0.12	4	4768.677331	8.698778498	3.3525	67.05	3	6860.393164	24.69741539	20	A	D	101	4.891619	52.36791
3.631E+14	1997	4852.372277	5708.673267	0.17	4	16812.83084	10.6987785	3.050880626	192.2054795	3	21665.20312	77.99473123	63	C	K	63	4.886088	52.384478
3.631E+14	1997	3881.897822	4566.938614	0.17	4	16812.83084	10.6987785	3.050880626	192.2054795	3	20694.72867	74.50102319	63	A	K	63	4.886472	52.384264
3.631E+14	1866	6700.89505	7883.405941	0.17	4	23217.71878	10.6987785	3.050880626	265.4266145	3	29918.61383	107.7070098	87	C	K	26	4.895611	52.360071
3.631E+14	1997	6100.125149	7176.617822	0.17	4	23484.58911	10.6987785	3.050880626	268.4774951	3	29584.71426	106.5049713	88	B	K	88	4.88709	52.384185
3.631E+14	1933	22409.23	26363.8	0.17	4	433279.9718	9.698778498	4	2732	6	455689.2018	1640.481127	683	A	O	64	4.908793	52.37109
3.631E+14	1814	3032.987957	5054.979928	0.12	4	6914.582131	8.698778498	3.3525	97.2225	3	9947.570087	35.81125231	29	A	D	29	4.891393	52.360566
3.631E+14	1976	4436.454653	5219.358416	0.17	4	19214.66382	10.6987785	3.050880626	219.6634051	3	23651.11847	85.14402651	72	A	K	72	4.884832	52.385138
3.631E+14	1905	11014.11485	12957.78218	0.17	4	27754.51441	10.6987785	3.050880626	317.2915851	3	38768.62926	139.5670653	104	F	K	104	4.899865	52.365742
3.631E+14	1896	9550.70099	11236.11881	0.17	4	33091.92103	10.6987785	3.050880626	378.3091977	3	42642.62202	153.5134393	124	C	K	40	4.931274	52.371062
3.631E+14	1992	96.27722772	113.2673267	0.17	4	266.8703308	10.6987785	3.050880626	3.050880626	3	363.1475586	1.307331211	1	E	K	57	4.893257	52.365904
3.631E+14	1985	97912.32	27816	0.88	3	28612.06399	8.698778498	3.3525	402.3	3	126524.384	455.4877824	719	C	U	120	4.92682	52.368717
3.631E+14	1941	115.5326733	135.9207921	0.17	4	266.8703308	10.6987785	3.050880626	3.050880626	3	382.4030041	1.376650815	1	G	K	4074	4.8783	52.368087
3.631E+14	1753	5620.375862	7493.834483	0.15	4	23210.03044	9.698778498	3.048923679	109.7612524	8	28830.4063	103.7894627	36	B	H	50	4.899858	52.374433
3.631E+14	1625	3555.916915	5926.528191	0.12	4	8106.751464	8.698778498	3.3525	113.985	3	11662.66838	41.98560616	34	A	D	34	4.88379	52.377314
3.631E+14	1932	129.6103448	172.8137931	0.15	4	644.7230677	9.698778498	3.048923679	3.048923679	8	774.3334125	2.787600285	1	A	H	28	4.89894	52.373746
3.631E+14	1868	16059.04158	18892.9901	0.17	4	37094.97599	10.6987785	3.050880626	424.072407	3	53154.01757	191.3544633	139	G	K	44	4.881576	52.369252
3.631E+14	1953	3660.502706	6100.837844	0.12	4	8345.18533	8.698778498	3.3525	117.3375	3	12005.68804	43.22047693	35	A	D	35	4.901363	52.375131
3.631E+14	1986	4183.431664	6972.386107	0.12	4	9537.354663	8.698778498	3.3525	134.1	3	13720.78633	49.39483078	40	A	D	40	4.885836	52.383326
3.631E+14	1883	4810.946414	8018.244023	0.12	4	10967.95786	8.698778498	3.3525	154.215	3	15778.90428	56.80405539	46	A	D	46	4.931344	52.371413
3.631E+14	1935	8872.909307	10438.71683	0.17	4	34159.40235	10.6987785	3.050880626	390.5127202	3	43032.31166	154.916322	128	B	K	55	4.879003	52.372099
3.631E+14	1916	33007.17875	38831.975	0.17	4	536049.1599	9.698778498	4	3380	6	569056.3386	2048.602819	845	C	O	0	4.884736	52.378001
